"rank","name","model_id","test_r2_plasma_mean_dual","test_r2_plasma_mean_interp","test_r2_plasma_mean_extrap","primary_metric","primary_metric_value","source_leaderboard"
"1","deeponet_pod","deeponet_pod","0.98939975238397","0.9919867609866992","0.9868127437812408","test_r2_plasma_mean_dual","0.98939975238397","runs\periodic_real_tuned_v83\benchmark_m7_deeponet_pod_experimental\leaderboard.csv"
"2","fno","fno","0.9521632517649721","0.9806327069761176","0.9236937965538264","test_r2_plasma_mean_dual","0.9521632517649721","runs\periodic_real_tuned_v83\benchmark_m7_fno_isolated_mainline\leaderboard.csv"
"3","coord_mlp_fourier","coord_mlp_fourier","0.9475775647264641","0.9760234327030324","0.9191316967498959","test_r2_plasma_mean_dual","0.9475775647264641","runs\periodic_real_tuned_v83\benchmark_m7_coord_mlp_fourier_experimental\leaderboard.csv"
"4","ffno","ffno","0.9442475536588629","0.9899037592480266","0.8985913480696992","test_r2_plasma_mean_dual","0.9442475536588629","runs\periodic_real_tuned_v83\benchmark_m7_ffno_isolated_mainline\leaderboard.csv"
"5","global_mlp","global_mlp","0.8586754167182176","0.7421912988646509","0.9751595345717843","test_r2_plasma_mean_dual","0.8586754167182176","runs\periodic_real_tuned_v48\benchmark_m7_global_frozen_ref_v2\leaderboard.csv"
"6","coord_mlp_siren","coord_mlp_siren","0.826210707883725","0.9370360534888704","0.7153853622785795","test_r2_plasma_mean_dual","0.826210707883725","runs\periodic_real_tuned_v83\benchmark_m7_coord_mlp_siren_experimental\leaderboard.csv"
"7","unet","unet","0.7612360189513515","0.8596474381929373","0.6628245997097657","test_r2_plasma_mean_dual","0.7612360189513515","runs\periodic_real_tuned_v59\benchmark_m7_unet_isolated_mainline\leaderboard.csv"
"8","unetpp_attn","unetpp_attn","0.7428995898215789","0.844731195336514","0.6410679843066439","test_r2_plasma_mean_dual","0.7428995898215789","runs\periodic_real_tuned_v83\benchmark_m7_unetpp_attn_isolated_mainline\leaderboard.csv"
"9","unetpp","unetpp","0.7363575318160895","0.797066845230046","0.675648218402133","test_r2_plasma_mean_dual","0.7363575318160895","runs\periodic_real_tuned_v83\benchmark_m7_unetpp_isolated_mainline\leaderboard.csv"
"10","deeponet_plasma","deeponet_plasma","0.5197858533939095","0.550220904344033","0.48935080244378587","test_r2_plasma_mean_dual","0.5197858533939095","runs\periodic_real_tuned_v83\benchmark_m7_deeponet_isolated_mainline\leaderboard.csv"
