rank,name,model_id,target_family,primary_metric,primary_metric_value,continuity_grad_ratio_all_plasma,continuity_lap_ratio_all_plasma,opt_best_uniformity,qoi_boundary_gamma_uniformity,qoi_uniformity,score_boundary_penalty,score_r2_plasma_mean,score_rmse_plasma_mean,score_total,score_total_dual,score_total_extrap,score_total_interp,single_boundary_operator_proxy_loss,single_boundary_residual_map_l2,single_poisson_residual,single_poisson_residual_map_l2,test_neg_ratio_Te_plasma,test_neg_ratio_ne_plasma,test_neg_ratio_ni_plasma,test_neg_ratio_phi_plasma,test_poisson_phi,test_r2_Te,test_r2_Te_boundary_in,test_r2_Te_boundary_in_bc_dir,test_r2_Te_boundary_in_interface,test_r2_Te_boundary_in_wafer,test_r2_Te_plasma,test_r2_Te_plasma_deep,test_r2_Te_plasma_dual,test_r2_Te_plasma_extrap,test_r2_Te_plasma_interp,test_r2_ne,test_r2_ne_boundary_in,test_r2_ne_boundary_in_bc_dir,test_r2_ne_boundary_in_interface,test_r2_ne_boundary_in_wafer,test_r2_ne_plasma,test_r2_ne_plasma_deep,test_r2_ne_plasma_dual,test_r2_ne_plasma_extrap,test_r2_ne_plasma_interp,test_r2_ni,test_r2_ni_boundary_in,test_r2_ni_boundary_in_bc_dir,test_r2_ni_boundary_in_interface,test_r2_ni_boundary_in_wafer,test_r2_ni_plasma,test_r2_ni_plasma_deep,test_r2_ni_plasma_dual,test_r2_ni_plasma_extrap,test_r2_ni_plasma_interp,test_r2_phi,test_r2_phi_boundary_in,test_r2_phi_boundary_in_bc_dir,test_r2_phi_boundary_in_interface,test_r2_phi_boundary_in_wafer,test_r2_phi_plasma,test_r2_phi_plasma_deep,test_r2_phi_plasma_dual,test_r2_phi_plasma_extrap,test_r2_phi_plasma_interp,test_r2_plasma_mean_dual,test_r2_plasma_mean_extrap,test_r2_plasma_mean_interp,test_rmse_Te,test_rmse_Te_boundary_in,test_rmse_Te_boundary_in_bc_dir,test_rmse_Te_boundary_in_interface,test_rmse_Te_boundary_in_wafer,test_rmse_Te_chamber_near,test_rmse_Te_plasma,test_rmse_Te_plasma_deep,test_rmse_ne,test_rmse_ne_boundary_in,test_rmse_ne_boundary_in_bc_dir,test_rmse_ne_boundary_in_interface,test_rmse_ne_boundary_in_wafer,test_rmse_ne_chamber_near,test_rmse_ne_plasma,test_rmse_ne_plasma_deep,test_rmse_ni,test_rmse_ni_boundary_in,test_rmse_ni_boundary_in_bc_dir,test_rmse_ni_boundary_in_interface,test_rmse_ni_boundary_in_wafer,test_rmse_ni_chamber_near,test_rmse_ni_plasma,test_rmse_ni_plasma_deep,test_rmse_phi,test_rmse_phi_boundary_in,test_rmse_phi_boundary_in_bc_dir,test_rmse_phi_boundary_in_interface,test_rmse_phi_boundary_in_wafer,test_rmse_phi_chamber_near,test_rmse_phi_plasma,test_rmse_phi_plasma_deep,protocol_variant,merge_role,reference_type,source_leaderboard
1,deeponet_pod,deeponet_pod,,test_r2_plasma_mean_dual,0.98939975238397,1.0007094284458329,0.9941144644485403,0.2728987546336451,1.939334579460317,0.5267255574494101,7.432808728851038,0.9919867609866991,39680519176192.54,19840259588096.613,39795252264960.914,59750244941825.21,19840259588096.613,574.1469116210938,4.730279445648193,0.5122025012969971,5.42621374130249,0.00024509805371053517,0.0022712417412549257,0.0,0.03888072073459625,103.39324188232422,0.9867675454136071,0.9806691756762959,,,0.9806691756762959,0.9827040017370324,0.9892263583831321,0.9792813749106966,0.9758587480843607,0.9827040017370324,0.9968173502775555,0.9952690611245871,,,0.9952690611245871,0.9961939570811769,0.9961672886409388,0.9934925545789723,0.9907911520767678,0.9961939570811769,0.9966412369509068,0.9963124835007745,,,0.9963124835007745,0.9959032013842788,0.9954900584775297,0.9930461777771605,0.9901891541700423,0.9959032013842788,0.9949216609174049,0.9904810214344402,,,0.9904810214344402,0.9931458837443088,0.9966331900474181,0.9917789022690507,0.9904119207937927,0.9931458837443088,0.98939975238397,0.9868127437812408,0.9919867609866992,0.4498525857925415,1.1720479726791382,,,1.1720479726791382,0.0009137043380178511,0.5822068452835083,0.019304005429148674,60530869927936.0,55143999471616.0,,,55143999471616.0,532917813248.0,78338920022016.0,81563551268864.0,62109517873152.0,48886404087808.0,,,48886404087808.0,144090955776.0,80383156682752.0,88494235975680.0,1.1900509595870972,4.146887302398682,,,4.146887302398682,0.005776177626103163,1.5401780605316162,0.1965644210577011,deeponet_pod_experimental,single,candidate,runs\periodic_real_tuned_v83\benchmark_m7_deeponet_pod_experimental\leaderboard.csv
2,fno,fno,,test_r2_plasma_mean_dual,0.9521632517649721,1.1123780404230525,0.8609538372226455,0.15959195040613772,1.9638083369347747,0.48927156545904144,7.086967395058537,0.9806327069761176,57302908403712.92,28651454201856.777,111779663314945.3,194907872428033.8,28651454201856.777,402.6274719238281,3.9612019062042236,0.3672296404838562,2.439279556274414,0.0,0.09088235348463058,0.019591502845287323,0.03111928142607212,38.559505462646484,0.9519816207362679,0.932077948459031,,,0.932077948459031,0.9624217841330676,-0.007229501551912598,0.9552711516417203,0.948120519150373,0.9624217841330676,0.9846695140518836,0.9218548601177796,,,0.9218548601177796,0.9909066753492911,0.9943285330635466,0.945661295425787,0.9004159155022831,0.9909066753492911,0.9887419052026422,0.9280310750782711,,,0.9280310750782711,0.9925876876419881,0.9961345243561847,0.9449221755917955,0.8972566635416028,0.9925876876419881,0.96662088163228,0.9643037413498641,,,0.9643037413498641,0.9766146807801235,0.9090111820713638,0.9627983844005852,0.9489820880210469,0.9766146807801235,0.9521632517649721,0.9236937965538264,0.9806327069761176,0.8569466471672058,2.196977376937866,,,2.196977376937866,0.7000377178192139,0.8581684231758118,0.1866510510444641,132849663475712.0,224117399748608.0,,,224117399748608.0,139104259932160.0,121088264634368.0,99218064670720.0,113710584561664.0,215970098446336.0,,,215970098446336.0,114946931163136.0,108123368980480.0,81927751073792.0,3.050999402999878,8.03042221069336,,,8.03042221069336,2.729520797729492,2.8448989391326904,1.0218557119369507,fno_isolated_mainline,single,candidate,runs\periodic_real_tuned_v83\benchmark_m7_fno_isolated_mainline\leaderboard.csv
3,coord_mlp_fourier,coord_mlp_fourier,,test_r2_plasma_mean_dual,0.9475775647264641,1.0838399245215347,1.1518364989614138,0.06506463231197528,2.6287720512586046,0.46290004286855385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.0716857910156,4.427822589874268,0.5767095685005188,4.2237982749938965,0.0,0.1073937937617302,0.03538398817181587,0.03060457482933998,75.40412902832031,0.9665309347589076,0.9391586939975868,,,0.9391586939975868,0.9569318707327029,-0.1644765473734464,0.9363011798203005,0.915670488907898,0.9569318707327029,0.9884513409637737,0.9441990939081553,,,0.9441990939081553,0.9865539566853141,0.9898136639695262,0.9484990133045762,0.9104440699238383,0.9865539566853141,0.9905771234899686,0.9646085508531748,,,0.9646085508531748,0.9887215555457171,0.9905119990724621,0.947821273035705,0.9069209905256929,0.9887215555457171,0.9778528592047385,0.9644191382093824,,,0.9644191382093824,0.9718863478483952,0.8813260224141769,0.9576887927452746,0.943491237642154,0.9718863478483952,0.9475775647264641,0.9191316967498959,0.9760234327030324,0.7154375910758972,2.0793111324310303,,,2.0793111324310303,0.2835529148578644,0.9187184572219849,0.20069268345832825,115305040838656.0,189384838086656.0,,,189384838086656.0,46084701290496.0,147244128927744.0,132969511518208.0,104030382587904.0,151450344751104.0,,,151450344751104.0,32274168938496.0,133372819013632.0,128356213325824.0,2.485212564468384,8.01743221282959,,,8.01743221282959,1.2233123779296875,3.1192758083343506,1.1670067310333252,coord_mlp_fourier_experimental,single,candidate,runs\periodic_real_tuned_v83\benchmark_m7_coord_mlp_fourier_experimental\leaderboard.csv
4,ffno,ffno,,test_r2_plasma_mean_dual,0.9442475536588629,1.043598257796632,0.8155110437967955,0.2470268642587278,3.5650793079917507,0.4821929357422737,7.813149942247453,0.9899037592480266,35802803339264.586,17901401669632.68,131233473888257.2,244565546106881.72,17901401669632.68,540.700927734375,4.590435028076172,0.474223256111145,4.3588738441467285,0.0,0.09974673390388489,0.026151960715651512,0.03336601331830025,99.05516815185547,0.9728721134575394,0.9543016545503729,,,0.9543016545503729,0.9736626660658557,0.5518231576483601,0.963546258053801,0.9534298500417463,0.9736626660658557,0.995699590059644,0.9890713488916404,,,0.9890713488916404,0.9965310702536168,0.9967836391285833,0.9110490652764422,0.8255670602992677,0.9965310702536168,0.9958637121067536,0.9884919837866736,,,0.9884919837866736,0.9970317034173112,0.9974222537918356,0.9262283051567176,0.855424906896124,0.9970317034173112,0.9911289718377937,0.9924165766462172,,,0.9924165766462172,0.9923895972553228,0.9389424615635632,0.9761665861484907,0.9599435750416586,0.9923895972553228,0.9442475536588629,0.8985913480696992,0.9899037592480266,0.6441069841384888,1.8020648956298828,,,1.8020648956298828,0.5453119277954102,0.7184397578239441,0.12450616806745529,70361882296320.0,83812327358464.0,,,83812327358464.0,66868865925120.0,74789121163264.0,74718027710464.0,68924532064256.0,86361725992960.0,,,86361725992960.0,71593128624128.0,68422092193792.0,66903624122368.0,1.5728659629821777,3.7013463973999023,,,3.7013463973999023,1.974156141281128,1.6229268312454224,0.837076723575592,ffno_isolated_mainline,single,candidate,runs\periodic_real_tuned_v83\benchmark_m7_ffno_isolated_mainline\leaderboard.csv
5,global_mlp,global_mlp,,test_r2_plasma_mean_dual,0.8586754167182176,1.128356266087708,1.5444115010431947,0.7794145252047657,3.676746143006384,1.0980814753515447,9.159254347779477,0.7421912988646509,266105302024195.06,133052651012098.16,109808122331137.84,86563593650177.53,133052651012098.16,2030.7479248046875,8.896174430847168,0.801711916923523,10.458170890808105,0.004681372549384832,0.04046568647027016,0.004991829860955477,0.037769608199596405,119.05555725097656,0.6746071286229469,0.4462915905415533,,,0.4462915905415533,0.5746878286921799,0.7897149221083146,0.7700277372722627,0.9653676458523455,0.5746878286921799,0.8528540764982692,0.9525868929401866,,,0.9525868929401866,0.8240417532831332,0.7804789648665774,0.9021322561702014,0.9802227590572695,0.8240417532831332,0.8530049256647558,0.9378597557170107,,,0.9378597557170107,0.8207096511457362,0.7803546639680459,0.900290873941693,0.97987209673765,0.8207096511457362,0.8142684192980251,0.6527647266906811,,,0.6527647266906811,0.7493259623375544,0.7798809126661879,0.8622507994887132,0.9751756366398718,0.7493259623375544,0.8586754167182176,0.9751595345717843,0.7421912988646509,2.2307660579681396,6.27278995513916,,,6.27278995513916,0.013239038176834583,2.8870770931243896,0.08528456836938858,411582253236224.0,174571680432128.0,,,174571680432128.0,5985283342336.0,532654428520448.0,617278538252288.0,410884555931648.0,200681608708096.0,,,200681608708096.0,3410756632576.0,531766779576320.0,617576166064128.0,7.196934700012207,25.046035766601562,,,25.046035766601562,0.05519220978021622,9.314291954040527,1.5893678665161133,global_frozen_ref_v2,single,frozen,runs\periodic_real_tuned_v48\benchmark_m7_global_frozen_ref_v2\leaderboard.csv
6,coord_mlp_siren,coord_mlp_siren,,test_r2_plasma_mean_dual,0.826210707883725,1.070083859636481,0.7467003103437382,0.7413307486631989,3.5472733640911724,0.5672505222897192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.627685546875,4.314396381378174,0.5117435455322266,4.327243328094482,0.0,0.12292483448982239,0.08821895718574524,0.036331698298454285,43.502342224121094,0.8928753660652307,0.8610622673337474,,,0.8610622673337474,0.8737229044125145,-9.479490972644653,0.7533849504562423,0.6330469964999701,0.8737229044125145,0.9678384759914174,0.8451601777279544,,,0.8451601777279544,0.975209341438296,0.98387344771786,0.867808370965305,0.7604074004923141,0.975209341438296,0.971111616650568,0.8360657576205219,,,0.8360657576205219,0.9741747271649206,0.9843277612806837,0.9196991716547698,0.865223616144619,0.9741747271649206,0.9339742662937284,0.8943974721803699,,,0.8943974721803699,0.9250372409397503,0.5912678652614463,0.7639503384585827,0.6028634359774152,0.9250372409397503,0.826210707883725,0.7153853622785795,0.9370360534888704,1.2799549102783203,3.142174482345581,,,3.142174482345581,0.8793641924858093,1.573137640953064,0.6020550727844238,192420272668672.0,315475682656256.0,,,315475682656256.0,282237736058880.0,199933126770688.0,167306894245888.0,182150368329728.0,325953725136896.0,,,325953725136896.0,205617398546432.0,201820462907392.0,164966237732864.0,4.291027545928955,13.81224250793457,,,13.81224250793457,2.971219539642334,5.0935187339782715,2.165783405303955,coord_mlp_siren_experimental,single,candidate,runs\periodic_real_tuned_v83\benchmark_m7_coord_mlp_siren_experimental\leaderboard.csv
7,unet,unet,,test_r2_plasma_mean_dual,0.7612360189513515,1.387623916694376,2.9461357155068644,0.15235090612133606,2.23350539819163,0.6817643272031666,7.7585646397544075,0.8596474381929373,245419288297474.03,122709644148737.45,275850706550786.25,428991768952835.06,122709644148737.45,723.1494750976562,5.308713912963867,1.1837449073791504,6.306192874908447,0.0,0.0835784301161766,0.037173204123973846,0.031151961535215378,148.86477661132812,0.8066879973173985,0.8665961196770922,,,0.8665961196770922,0.8610306437868411,-0.05532070804472089,0.8478203304548502,0.8346100171228592,0.8610306437868411,0.8636792629431996,0.8255231053186807,,,0.8255231053186807,0.849799603611517,0.8224506944576153,0.681146243452351,0.5124928832931851,0.849799603611517,0.8680497942481891,0.8674756643099836,,,0.8674756643099836,0.8480465128601663,0.8196886423433919,0.6777608567085347,0.507475200556903,0.8480465128601663,0.854163380239343,0.8599417185672067,,,0.8599417185672067,0.8797129925132249,0.5175677108441309,0.83821664518967,0.7967202978661152,0.8797129925132249,0.7612360189513515,0.6628245997097657,0.8596474381929373,1.7194099426269531,3.078962802886963,,,3.078962802886963,0.689788818359375,1.6503039598464966,0.19105498492717743,396153489195008.0,334883364798464.0,,,334883364798464.0,126378380886016.0,492125976264704.0,555140025155584.0,389290198564864.0,293068368510976.0,,,293068368510976.0,110048311246848.0,489551176925184.0,559552835616768.0,6.377316474914551,15.90675163269043,,,15.90675163269043,1.7066999673843384,6.452150344848633,2.3529558181762695,unet_isolated_mainline,single,candidate,runs\periodic_real_tuned_v59\benchmark_m7_unet_isolated_mainline\leaderboard.csv
8,unetpp_attn,unetpp_attn,,test_r2_plasma_mean_dual,0.7428995898215789,1.2339673158196858,1.138346053448573,0.49464769165967576,5.474475264717203,0.47995703106647003,7.705745872683937,0.844731195336514,282967276519425.94,141483638259713.4,281097799729154.38,420711961198595.3,141483638259713.4,342.05072021484375,3.6510732173919678,0.4803425669670105,1.9092962741851807,0.0,0.08073529601097107,0.034044116735458374,0.03351307287812233,28.348583221435547,0.9019634455873939,0.8846509072116328,,,0.8846509072116328,0.8902011970507075,-0.23793809515616604,0.8366542485271683,0.783107300003629,0.8902011970507075,0.8207046649727431,0.7660511719396854,,,0.7660511719396854,0.8014518803086168,0.7674059870107697,0.6742890772211662,0.5471262741337155,0.8014518803086168,0.8177841385288307,0.7500138005943884,,,0.7500138005943884,0.7968428285664935,0.7674939740292117,0.6532855215164892,0.509728214466485,0.7968428285664935,0.9019586601620416,0.871895617481311,,,0.871895617481311,0.8904288754202382,0.4594151206524285,0.8073695120214921,0.724310148622746,0.8904288754202382,0.7428995898215789,0.6410679843066439,0.844731195336514,1.2244583368301392,2.863039016723633,,,2.863039016723633,0.8582907915115356,1.4669091701507568,0.20692630112171173,454325398667264.0,387779645145088.0,,,387779645145088.0,249534076682240.0,565813891301376.0,635392831258624.0,457468844965888.0,402512288940032.0,,,402512288940032.0,212670741479424.0,566055214776320.0,635399206600704.0,5.228887557983398,15.212797164916992,,,15.212797164916992,5.0783562660217285,6.158049583435059,2.4907350540161133,unetpp_attn_isolated_mainline,single,candidate,runs\periodic_real_tuned_v83\benchmark_m7_unetpp_attn_isolated_mainline\leaderboard.csv
9,unetpp,unetpp,,test_r2_plasma_mean_dual,0.7363575318160895,1.1495094443386993,1.1150765911398495,0.15067285830414173,3.611285775712184,0.5240370295094285,7.080624359729252,0.797066845230046,313278387453954.3,156639193726977.56,277217300971522.4,397795408216067.25,156639193726977.56,256.7828674316406,3.1634304523468018,0.49527403712272644,1.9619866609573364,0.0,0.12721405923366547,0.07978758215904236,0.02880718931555748,13.498819351196289,0.779172857132737,0.8333215873406045,,,0.8333215873406045,0.8386659082065233,0.04509451451344615,0.8171243947179945,0.7955828812294656,0.8386659082065233,0.7772812680826476,0.788988993167763,,,0.788988993167763,0.7503153484996262,0.7000326394143477,0.6681209359758595,0.585926523452093,0.7503153484996262,0.7801066173210305,0.7437246212472647,,,0.7437246212472647,0.757370799163876,0.7166692620997943,0.6643198077296817,0.5712688162954875,0.757370799163876,0.8506590196784638,0.7985283431664447,,,0.7985283431664447,0.8419153250501583,0.48984960669950106,0.795864988840822,0.7498146526314856,0.8419153250501583,0.7363575318160895,0.675648218402133,0.797066845230046,1.8377068042755127,3.441596031188965,,,3.441596031188965,1.3377611637115479,1.7781463861465454,0.1817382574081421,506361712476160.0,368279184998400.0,,,368279184998400.0,174675615285248.0,634507329798144.0,721572625121280.0,502544459628544.0,407544044453888.0,,,407544044453888.0,196524868894720.0,618606220017664.0,701417148907520.0,6.4534831047058105,19.078052520751953,,,19.078052520751953,2.1772031784057617,7.396734714508057,2.4196062088012695,unetpp_isolated_mainline,single,candidate,runs\periodic_real_tuned_v83\benchmark_m7_unetpp_isolated_mainline\leaderboard.csv
10,deeponet_plasma,deeponet_plasma,,test_r2_plasma_mean_dual,0.5197858533939095,0.9378235646505717,0.49834656879549843,0.23710439443762843,0.799737614112312,0.36778008017430514,4.637350408561771,0.550220904344033,269773573193732.7,134886786596866.6,209123329179651.88,283359871762437.1,134886786596866.6,56.38078689575195,1.482316255569458,0.15828627347946167,0.5222199559211731,0.0,0.0818709135055542,0.05687091499567032,0.028553921729326248,0.39920875430107117,0.37768263481777276,0.2069887728301656,,,0.2069887728301656,0.20782486628471164,-18.15492323185066,0.189688555841653,0.17155224539859437,0.20782486628471164,0.796857944036838,0.3824355178297796,,,0.3824355178297796,0.8052246267717359,0.841596150484315,0.7931343590802801,0.7810440913888242,0.8052246267717359,0.8211197300137211,0.4497022507165126,,,0.4497022507165126,0.8294245148628694,0.8654947086609494,0.810410715740804,0.7913969166187387,0.8294245148628694,0.48832083473706056,0.1108570788020452,,,0.1108570788020452,0.3584096094568152,-0.023348755427061496,0.2859097829129006,0.21340995636898596,0.3584096094568152,0.5197858533939095,0.48935080244378587,0.550220904344033,3.085005760192871,7.5068864822387695,,,7.5068864822387695,1.427842378616333,3.940171003341675,0.8139662146568298,483595701452800.0,630036537278464.0,,,630036537278464.0,293773246464000.0,560412433055744.0,524355612180480.0,453262327152640.0,597200170123264.0,,,597200170123264.0,344663575756800.0,518681859719168.0,483280457564160.0,11.945478439331055,40.07862854003906,,,40.07862854003906,5.750391960144043,14.901297569274902,3.426947832107544,deeponet_isolated_mainline,single,candidate,runs\periodic_real_tuned_v83\benchmark_m7_deeponet_isolated_mainline\leaderboard.csv
