seed,dataset_size,model_id,family,role,input_contract,setting_status,protocol_prefix,pod_branch_recipe,epochs,lr,selection_split,test_metrics_used_for_config,config,output_dir
411,78,global_mlp,vector_nn,current Global-MLP reference,table_only,current_reference,gec_ccp_nn_operator_comparison_v1,not_applicable,200,0.0006,interp_validation_only,False,configs/experimental/gec_ccp_nn_operator_comparison_v1/seed_411/n78/benchmark_ext0520_global_mlp_n78.yaml,runs/gec_ccp_nn_operator_comparison_v1/seed_411/n78/global_mlp
411,78,global_resmlp,vector_nn,capacity-constrained residual MLP,table_only,initial_validation_candidate,gec_ccp_nn_operator_comparison_v1,not_applicable,220,0.0004,interp_validation_only,False,configs/experimental/gec_ccp_nn_operator_comparison_v1/seed_411/n78/benchmark_ext0520_global_resmlp_n78.yaml,runs/gec_ccp_nn_operator_comparison_v1/seed_411/n78/global_resmlp
411,78,global_densemlp,vector_nn,capacity-constrained dense-connectivity MLP,table_only,initial_validation_candidate,gec_ccp_nn_operator_comparison_v1,not_applicable,220,0.0004,interp_validation_only,False,configs/experimental/gec_ccp_nn_operator_comparison_v1/seed_411/n78/benchmark_ext0520_global_densemlp_n78.yaml,runs/gec_ccp_nn_operator_comparison_v1/seed_411/n78/global_densemlp
411,78,unet,convolutional_nn,local multiscale CNN reference,table_plus_structure:grid_pack,architecture_aware_candidate,gec_ccp_nn_operator_comparison_v1,not_applicable,220,0.0003,interp_validation_only,False,configs/experimental/gec_ccp_nn_operator_comparison_v1/seed_411/n78/benchmark_ext0520_unet_n78.yaml,runs/gec_ccp_nn_operator_comparison_v1/seed_411/n78/unet
411,78,fno,neural_operator,current spectral-operator reference,table_plus_structure:grid_pack,current_reference,gec_ccp_nn_operator_comparison_v1,not_applicable,200,0.0003,interp_validation_only,False,configs/experimental/gec_ccp_nn_operator_comparison_v1/seed_411/n78/benchmark_ext0520_fno_n78.yaml,runs/gec_ccp_nn_operator_comparison_v1/seed_411/n78/fno
411,78,ffno,neural_operator,factorized spectral operator,table_plus_structure:grid_pack,architecture_aware_candidate,gec_ccp_nn_operator_comparison_v1,not_applicable,220,0.0003,interp_validation_only,False,configs/experimental/gec_ccp_nn_operator_comparison_v1/seed_411/n78/benchmark_ext0520_ffno_n78.yaml,runs/gec_ccp_nn_operator_comparison_v1/seed_411/n78/ffno
411,78,u_no,neural_operator,multiscale spectral operator,table_plus_structure:grid_pack,architecture_aware_candidate,gec_ccp_nn_operator_comparison_v1,not_applicable,220,0.0003,interp_validation_only,False,configs/experimental/gec_ccp_nn_operator_comparison_v1/seed_411/n78/benchmark_ext0520_u_no_n78.yaml,runs/gec_ccp_nn_operator_comparison_v1/seed_411/n78/u_no
411,78,deeponet_pod,pod_neural_operator,historical POD-DeepONet reference,table_plus_structure:descriptor_branch,historical_baseline,gec_ccp_nn_operator_comparison_v1,legacy_v1,260,0.0003,interp_validation_only,False,configs/experimental/gec_ccp_nn_operator_comparison_v1/seed_411/n78/benchmark_ext0520_deeponet_pod_n78.yaml,runs/gec_ccp_nn_operator_comparison_v1/seed_411/n78/deeponet_pod
412,78,global_mlp,vector_nn,current Global-MLP reference,table_only,current_reference,gec_ccp_nn_operator_comparison_v1,not_applicable,200,0.0006,interp_validation_only,False,configs/experimental/gec_ccp_nn_operator_comparison_v1/seed_412/n78/benchmark_ext0520_global_mlp_n78.yaml,runs/gec_ccp_nn_operator_comparison_v1/seed_412/n78/global_mlp
412,78,global_resmlp,vector_nn,capacity-constrained residual MLP,table_only,initial_validation_candidate,gec_ccp_nn_operator_comparison_v1,not_applicable,220,0.0004,interp_validation_only,False,configs/experimental/gec_ccp_nn_operator_comparison_v1/seed_412/n78/benchmark_ext0520_global_resmlp_n78.yaml,runs/gec_ccp_nn_operator_comparison_v1/seed_412/n78/global_resmlp
