source_dataset,case_id,base_case_id,split_group,source_split,operation_id,axis,pp,pp0,llcoil,rrc,nncoil,rrce,zzc,fields_npz,structure_npz
legacy_stage4,case_g001_op01,case_g001,case_g001,train,op01,0.0,2544.405,0.004861,1.0145,9.2677,2.0,24.3392,4.2826,fields/case_g001_op01.npz,structure_features/case_g001_op01.npz
legacy_stage4,case_g001_op02,case_g001,case_g001,train,op02,0.0,898.414,0.018023,1.0145,9.2677,2.0,24.3392,4.2826,fields/case_g001_op02.npz,structure_features/case_g001_op02.npz
legacy_stage4,case_g001_op03,case_g001,case_g001,train,op03,0.0,1924.545,0.012253,1.0145,9.2677,2.0,24.3392,4.2826,fields/case_g001_op03.npz,structure_features/case_g001_op03.npz
legacy_stage4,case_g001_op04,case_g001,case_g001,train,op04,0.0,1253.892,0.078856,1.0145,9.2677,2.0,24.3392,4.2826,fields/case_g001_op04.npz,structure_features/case_g001_op04.npz
legacy_stage4,case_g001_op05,case_g001,case_g001,train,op05,0.0,2840.12,0.008301,1.0145,9.2677,2.0,24.3392,4.2826,fields/case_g001_op05.npz,structure_features/case_g001_op05.npz
legacy_stage4,case_g001_op06,case_g001,case_g001,train,op06,0.0,1380.501,0.03792,1.0145,9.2677,2.0,24.3392,4.2826,fields/case_g001_op06.npz,structure_features/case_g001_op06.npz
legacy_stage4,case_g002_op01,case_g002,case_g002,train,op01,0.0,2823.804,0.08349,0.5543,3.7458,6.0,29.6998,0.9013,fields/case_g002_op01.npz,structure_features/case_g002_op01.npz
legacy_stage4,case_g002_op02,case_g002,case_g002,train,op02,0.0,2255.197,0.01382,0.5543,3.7458,6.0,29.6998,0.9013,fields/case_g002_op02.npz,structure_features/case_g002_op02.npz
legacy_stage4,case_g002_op03,case_g002,case_g002,train,op03,0.0,1339.878,0.00714,0.5543,3.7458,6.0,29.6998,0.9013,fields/case_g002_op03.npz,structure_features/case_g002_op03.npz
legacy_stage4,case_g002_op04,case_g002,case_g002,train,op04,0.0,2138.902,0.004544,0.5543,3.7458,6.0,29.6998,0.9013,fields/case_g002_op04.npz,structure_features/case_g002_op04.npz
legacy_stage4,case_g002_op05,case_g002,case_g002,train,op05,0.0,1298.352,0.030519,0.5543,3.7458,6.0,29.6998,0.9013,fields/case_g002_op05.npz,structure_features/case_g002_op05.npz
legacy_stage4,case_g002_op06,case_g002,case_g002,train,op06,0.0,540.079,0.045388,0.5543,3.7458,6.0,29.6998,0.9013,fields/case_g002_op06.npz,structure_features/case_g002_op06.npz
legacy_stage4,case_g003_op01,case_g003,case_g003,test,op01,0.0,2289.741,0.035203,1.2392,5.0505,5.0,22.809,0.9599,fields/case_g003_op01.npz,structure_features/case_g003_op01.npz
legacy_stage4,case_g003_op02,case_g003,case_g003,test,op02,0.0,1076.493,0.064528,1.2392,5.0505,5.0,22.809,0.9599,fields/case_g003_op02.npz,structure_features/case_g003_op02.npz
legacy_stage4,case_g003_op03,case_g003,case_g003,test,op03,0.0,2074.407,0.003524,1.2392,5.0505,5.0,22.809,0.9599,fields/case_g003_op03.npz,structure_features/case_g003_op03.npz
legacy_stage4,case_g003_op04,case_g003,case_g003,test,op04,0.0,2972.138,0.015613,1.2392,5.0505,5.0,22.809,0.9599,fields/case_g003_op04.npz,structure_features/case_g003_op04.npz
legacy_stage4,case_g003_op05,case_g003,case_g003,test,op05,0.0,1698.161,0.023815,1.2392,5.0505,5.0,22.809,0.9599,fields/case_g003_op05.npz,structure_features/case_g003_op05.npz
legacy_stage4,case_g003_op06,case_g003,case_g003,test,op06,0.0,802.001,0.006996,1.2392,5.0505,5.0,22.809,0.9599,fields/case_g003_op06.npz,structure_features/case_g003_op06.npz
legacy_stage4,case_g004_op01,case_g004,case_g004,val,op01,0.0,2746.254,0.029361,1.1281,9.5068,5.0,26.3024,3.9108,fields/case_g004_op01.npz,structure_features/case_g004_op01.npz
legacy_stage4,case_g004_op02,case_g004,case_g004,val,op02,0.0,2102.909,0.080753,1.1281,9.5068,5.0,26.3024,3.9108,fields/case_g004_op02.npz,structure_features/case_g004_op02.npz
legacy_stage4,case_g004_op03,case_g004,case_g004,val,op03,0.0,963.897,0.008853,1.1281,9.5068,5.0,26.3024,3.9108,fields/case_g004_op03.npz,structure_features/case_g004_op03.npz
legacy_stage4,case_g004_op04,case_g004,case_g004,val,op04,0.0,2325.093,0.052924,1.1281,9.5068,5.0,26.3024,3.9108,fields/case_g004_op04.npz,structure_features/case_g004_op04.npz
legacy_stage4,case_g004_op05,case_g004,case_g004,val,op05,0.0,765.905,0.00433,1.1281,9.5068,5.0,26.3024,3.9108,fields/case_g004_op05.npz,structure_features/case_g004_op05.npz
legacy_stage4,case_g004_op06,case_g004,case_g004,val,op06,0.0,1696.586,0.01662,1.1281,9.5068,5.0,26.3024,3.9108,fields/case_g004_op06.npz,structure_features/case_g004_op06.npz
legacy_stage4,case_g005_op01,case_g005,case_g005,test,op01,0.0,957.798,0.019928,1.0834,9.923,4.0,21.6876,2.1761,fields/case_g005_op01.npz,structure_features/case_g005_op01.npz
legacy_stage4,case_g005_op02,case_g005,case_g005,test,op02,0.0,2993.496,0.006443,1.0834,9.923,4.0,21.6876,2.1761,fields/case_g005_op02.npz,structure_features/case_g005_op02.npz
legacy_stage4,case_g005_op03,case_g005,case_g005,test,op03,0.0,1686.36,0.063267,1.0834,9.923,4.0,21.6876,2.1761,fields/case_g005_op03.npz,structure_features/case_g005_op03.npz
legacy_stage4,case_g005_op04,case_g005,case_g005,test,op04,0.0,785.996,0.004168,1.0834,9.923,4.0,21.6876,2.1761,fields/case_g005_op04.npz,structure_features/case_g005_op04.npz
legacy_stage4,case_g005_op05,case_g005,case_g005,test,op05,0.0,1823.168,0.033453,1.0834,9.923,4.0,21.6876,2.1761,fields/case_g005_op05.npz,structure_features/case_g005_op05.npz
legacy_stage4,case_g005_op06,case_g005,case_g005,test,op06,0.0,2486.109,0.014636,1.0834,9.923,4.0,21.6876,2.1761,fields/case_g005_op06.npz,structure_features/case_g005_op06.npz
legacy_stage4,case_g006_op01,case_g006,case_g006,val,op01,0.0,1651.974,0.014676,1.1126,8.1527,6.0,28.7674,1.3607,fields/case_g006_op01.npz,structure_features/case_g006_op01.npz
legacy_stage4,case_g006_op02,case_g006,case_g006,val,op02,0.0,2097.135,0.003347,1.1126,8.1527,6.0,28.7674,1.3607,fields/case_g006_op02.npz,structure_features/case_g006_op02.npz
legacy_stage4,case_g006_op03,case_g006,case_g006,val,op03,0.0,1226.853,0.006867,1.1126,8.1527,6.0,28.7674,1.3607,fields/case_g006_op03.npz,structure_features/case_g006_op03.npz
legacy_stage4,case_g006_op04,case_g006,case_g006,val,op04,0.0,508.82,0.069336,1.1126,8.1527,6.0,28.7674,1.3607,fields/case_g006_op04.npz,structure_features/case_g006_op04.npz
legacy_stage4,case_g006_op05,case_g006,case_g006,val,op05,0.0,2697.189,0.055361,1.1126,8.1527,6.0,28.7674,1.3607,fields/case_g006_op05.npz,structure_features/case_g006_op05.npz
legacy_stage4,case_g006_op06,case_g006,case_g006,val,op06,0.0,2208.471,0.018586,1.1126,8.1527,6.0,28.7674,1.3607,fields/case_g006_op06.npz,structure_features/case_g006_op06.npz
legacy_stage4,case_g007_op01,case_g007,case_g007,train,op01,0.0,2381.877,0.006287,1.4125,2.5678,5.0,28.4397,2.2672,fields/case_g007_op01.npz,structure_features/case_g007_op01.npz
legacy_stage4,case_g007_op02,case_g007,case_g007,train,op02,0.0,544.984,0.020938,1.4125,2.5678,5.0,28.4397,2.2672,fields/case_g007_op02.npz,structure_features/case_g007_op02.npz
legacy_stage4,case_g007_op03,case_g007,case_g007,train,op03,0.0,2720.752,0.004372,1.4125,2.5678,5.0,28.4397,2.2672,fields/case_g007_op03.npz,structure_features/case_g007_op03.npz
legacy_stage4,case_g007_op04,case_g007,case_g007,train,op04,0.0,972.562,0.076489,1.4125,2.5678,5.0,28.4397,2.2672,fields/case_g007_op04.npz,structure_features/case_g007_op04.npz
legacy_stage4,case_g007_op05,case_g007,case_g007,train,op05,0.0,1375.023,0.011913,1.4125,2.5678,5.0,28.4397,2.2672,fields/case_g007_op05.npz,structure_features/case_g007_op05.npz
legacy_stage4,case_g007_op06,case_g007,case_g007,train,op06,0.0,2049.814,0.04898,1.4125,2.5678,5.0,28.4397,2.2672,fields/case_g007_op06.npz,structure_features/case_g007_op06.npz
legacy_stage4,case_g008_op01,case_g008,case_g008,train,op01,0.0,2530.878,0.046163,1.3629,4.3377,6.0,21.6621,0.808,fields/case_g008_op01.npz,structure_features/case_g008_op01.npz
legacy_stage4,case_g008_op02,case_g008,case_g008,train,op02,0.0,2046.352,0.004025,1.3629,4.3377,6.0,21.6621,0.808,fields/case_g008_op02.npz,structure_features/case_g008_op02.npz
legacy_stage4,case_g008_op03,case_g008,case_g008,train,op03,0.0,994.497,0.010639,1.3629,4.3377,6.0,21.6621,0.808,fields/case_g008_op03.npz,structure_features/case_g008_op03.npz
legacy_stage4,case_g008_op04,case_g008,case_g008,train,op04,0.0,1577.991,0.086737,1.3629,4.3377,6.0,21.6621,0.808,fields/case_g008_op04.npz,structure_features/case_g008_op04.npz
legacy_stage4,case_g008_op05,case_g008,case_g008,train,op05,0.0,785.068,0.01938,1.3629,4.3377,6.0,21.6621,0.808,fields/case_g008_op05.npz,structure_features/case_g008_op05.npz
legacy_stage4,case_g008_op06,case_g008,case_g008,train,op06,0.0,2678.826,0.006554,1.3629,4.3377,6.0,21.6621,0.808,fields/case_g008_op06.npz,structure_features/case_g008_op06.npz
legacy_stage4,case_g009_op01,case_g009,case_g009,train,op01,0.0,2361.009,0.016339,0.7593,2.3979,6.0,22.0172,3.8181,fields/case_g009_op01.npz,structure_features/case_g009_op01.npz
legacy_stage4,case_g009_op02,case_g009,case_g009,train,op02,0.0,1717.242,0.039051,0.7593,2.3979,6.0,22.0172,3.8181,fields/case_g009_op02.npz,structure_features/case_g009_op02.npz
legacy_stage4,case_g009_op03,case_g009,case_g009,train,op03,0.0,534.195,0.004345,0.7593,2.3979,6.0,22.0172,3.8181,fields/case_g009_op03.npz,structure_features/case_g009_op03.npz
legacy_stage4,case_g009_op04,case_g009,case_g009,train,op04,0.0,2655.26,0.083361,0.7593,2.3979,6.0,22.0172,3.8181,fields/case_g009_op04.npz,structure_features/case_g009_op04.npz
legacy_stage4,case_g009_op05,case_g009,case_g009,train,op05,0.0,1769.027,0.030281,0.7593,2.3979,6.0,22.0172,3.8181,fields/case_g009_op05.npz,structure_features/case_g009_op05.npz
legacy_stage4,case_g009_op06,case_g009,case_g009,train,op06,0.0,953.106,0.005715,0.7593,2.3979,6.0,22.0172,3.8181,fields/case_g009_op06.npz,structure_features/case_g009_op06.npz
legacy_stage4,case_g010_op01,case_g010,case_g010,train,op01,0.0,2609.697,0.012744,1.1905,5.6347,3.0,25.2853,0.6686,fields/case_g010_op01.npz,structure_features/case_g010_op01.npz
legacy_stage4,case_g010_op02,case_g010,case_g010,train,op02,0.0,1326.046,0.090886,1.1905,5.6347,3.0,25.2853,0.6686,fields/case_g010_op02.npz,structure_features/case_g010_op02.npz
legacy_stage4,case_g010_op03,case_g010,case_g010,train,op03,0.0,1559.857,0.030712,1.1905,5.6347,3.0,25.2853,0.6686,fields/case_g010_op03.npz,structure_features/case_g010_op03.npz
legacy_stage4,case_g010_op04,case_g010,case_g010,train,op04,0.0,772.231,0.00901,1.1905,5.6347,3.0,25.2853,0.6686,fields/case_g010_op04.npz,structure_features/case_g010_op04.npz
