case_id,base_case_id,split_group,axis,PP0,Td,gamma,fields_npz
case_td003_pa200_pp0_1_gamma_010__steady,case_td003_pa200_pp0_1_gamma_010,case_td003_pa200_pp0_1_gamma_010,0.0,1.0,0.03,0.1,fields/case_td003_pa200_pp0_1_gamma_010__steady.npz
case_td003_pp0_1_gamma_004__steady,case_td003_pp0_1_gamma_004,case_td003_pp0_1_gamma_004,0.0,1.0,0.03,0.04,fields/case_td003_pp0_1_gamma_004__steady.npz
case_td003_pp0_3_gamma_007__steady,case_td003_pp0_3_gamma_007,case_td003_pp0_3_gamma_007,0.0,3.0,0.03,0.07,fields/case_td003_pp0_3_gamma_007__steady.npz
case_td016_precomputed_saved_0000__steady,case_td016_precomputed_saved_0000,case_td016_precomputed_saved_0000,0.0,5.0,0.16,0.1,fields/case_td016_precomputed_saved_0000__steady.npz
case_td003_pa200_pp0_3_gamma_004__steady,case_td003_pa200_pp0_3_gamma_004,case_td003_pa200_pp0_3_gamma_004,0.0,3.0,0.03,0.04,fields/case_td003_pa200_pp0_3_gamma_004__steady.npz
case_td003_pa050_pp0_3_gamma_004__steady,case_td003_pa050_pp0_3_gamma_004,case_td003_pa050_pp0_3_gamma_004,0.0,3.0,0.03,0.04,fields/case_td003_pa050_pp0_3_gamma_004__steady.npz
case_td003_pp0_5_gamma_007__steady,case_td003_pp0_5_gamma_007,case_td003_pp0_5_gamma_007,0.0,5.0,0.03,0.07,fields/case_td003_pp0_5_gamma_007__steady.npz
case_td030_pa200_pp0_5_gamma_004__steady,case_td030_pa200_pp0_5_gamma_004,case_td030_pa200_pp0_5_gamma_004,0.0,5.0,0.3,0.04,fields/case_td030_pa200_pp0_5_gamma_004__steady.npz
case_td030_pa200_pp0_3_gamma_010__steady,case_td030_pa200_pp0_3_gamma_010,case_td030_pa200_pp0_3_gamma_010,0.0,3.0,0.3,0.1,fields/case_td030_pa200_pp0_3_gamma_010__steady.npz
case_td016_pa050_pp0_3_gamma_007__steady,case_td016_pa050_pp0_3_gamma_007,case_td016_pa050_pp0_3_gamma_007,0.0,3.0,0.16,0.07,fields/case_td016_pa050_pp0_3_gamma_007__steady.npz
case_td016_pa200_pp0_3_gamma_004__steady,case_td016_pa200_pp0_3_gamma_004,case_td016_pa200_pp0_3_gamma_004,0.0,3.0,0.16,0.04,fields/case_td016_pa200_pp0_3_gamma_004__steady.npz
case_td030_pa050_pp0_5_gamma_007__steady,case_td030_pa050_pp0_5_gamma_007,case_td030_pa050_pp0_5_gamma_007,0.0,5.0,0.3,0.07,fields/case_td030_pa050_pp0_5_gamma_007__steady.npz
case_td003_pa200_pp0_5_gamma_004__steady,case_td003_pa200_pp0_5_gamma_004,case_td003_pa200_pp0_5_gamma_004,0.0,5.0,0.03,0.04,fields/case_td003_pa200_pp0_5_gamma_004__steady.npz
case_td030_pa050_pp0_5_gamma_010__steady,case_td030_pa050_pp0_5_gamma_010,case_td030_pa050_pp0_5_gamma_010,0.0,5.0,0.3,0.1,fields/case_td030_pa050_pp0_5_gamma_010__steady.npz
case_td016_pp0_3_gamma_007__steady,case_td016_pp0_3_gamma_007,case_td016_pp0_3_gamma_007,0.0,3.0,0.16,0.07,fields/case_td016_pp0_3_gamma_007__steady.npz
case_td030_pa050_pp0_3_gamma_010__steady,case_td030_pa050_pp0_3_gamma_010,case_td030_pa050_pp0_3_gamma_010,0.0,3.0,0.3,0.1,fields/case_td030_pa050_pp0_3_gamma_010__steady.npz
case_td030_pa200_pp0_1_gamma_007__steady,case_td030_pa200_pp0_1_gamma_007,case_td030_pa200_pp0_1_gamma_007,0.0,1.0,0.3,0.07,fields/case_td030_pa200_pp0_1_gamma_007__steady.npz
case_td016_pp0_1_gamma_004__steady,case_td016_pp0_1_gamma_004,case_td016_pp0_1_gamma_004,0.0,1.0,0.16,0.04,fields/case_td016_pp0_1_gamma_004__steady.npz
case_td003_pp0_3_gamma_010__steady,case_td003_pp0_3_gamma_010,case_td003_pp0_3_gamma_010,0.0,3.0,0.03,0.1,fields/case_td003_pp0_3_gamma_010__steady.npz
case_td030_pa200_pp0_3_gamma_007__steady,case_td030_pa200_pp0_3_gamma_007,case_td030_pa200_pp0_3_gamma_007,0.0,3.0,0.3,0.07,fields/case_td030_pa200_pp0_3_gamma_007__steady.npz
case_td003_pa050_pp0_1_gamma_010__steady,case_td003_pa050_pp0_1_gamma_010,case_td003_pa050_pp0_1_gamma_010,0.0,1.0,0.03,0.1,fields/case_td003_pa050_pp0_1_gamma_010__steady.npz
case_td016_pp0_3_gamma_010__steady,case_td016_pp0_3_gamma_010,case_td016_pp0_3_gamma_010,0.0,3.0,0.16,0.1,fields/case_td016_pp0_3_gamma_010__steady.npz
