name,model_id,input_mode_effective,candidate_rank,test_r2_plasma_mean_dual,test_r2_plasma_mean_interp,test_r2_plasma_mean_extrap,test_r2_ne_plasma_extrap,test_r2_ni_plasma_extrap,test_r2_Te_plasma_extrap,test_r2_phi_plasma_extrap,min_var_extrap,protocol_variant,source_leaderboard
deeponet_pod,deeponet_pod,table_plus_structure,1,0.98939975238397,0.9919867609866992,0.9868127437812408,0.9907911520767678,0.9901891541700423,0.9758587480843607,0.9904119207937927,0.9758587480843607,deeponet_pod_experimental,runs\report_20260402\full\deeponet_pod\leaderboard.csv
u_no,u_no,table_plus_structure,2,0.9597056348025745,0.9969635076492233,0.9224477619559258,0.9039602410665641,0.9044407667206833,0.939153345819851,0.9422366942166048,0.9039602410665641,u_no_isolated_experimental,runs\report_20260402\full\u_no\leaderboard.csv
fno,fno,table_plus_structure,3,0.9521632517649721,0.9806327069761176,0.9236937965538264,0.9004159155022831,0.8972566635416028,0.948120519150373,0.9489820880210469,0.8972566635416028,fno_isolated_mainline,runs\report_20260402\full\fno\leaderboard.csv
coord_mlp_fourier,coord_mlp_fourier,table_plus_structure,4,0.9475775647264641,0.9760234327030324,0.9191316967498959,0.9104440699238383,0.9069209905256929,0.915670488907898,0.943491237642154,0.9069209905256929,coord_mlp_fourier_experimental,runs\report_20260402\full\coord_mlp_fourier\leaderboard.csv
ffno,ffno,table_plus_structure,5,0.9442475536588629,0.9899037592480266,0.8985913480696992,0.8255670602992677,0.855424906896124,0.9534298500417463,0.9599435750416586,0.8255670602992677,ffno_isolated_mainline,runs\report_20260402\full\ffno\leaderboard.csv
unetpp_attn,unetpp_attn,table_plus_structure,6,0.8394229769427433,0.8246189300963578,0.8542270237891287,0.8128372992891423,0.8070788259998543,0.8987176826236345,0.8982742872438841,0.8070788259998543,unetpp_attn_isolated_mainline,runs\report_20260402\full\unetpp_attn\leaderboard.csv
coord_mlp_siren,coord_mlp_siren,table_plus_structure,7,0.826210707883725,0.9370360534888704,0.7153853622785795,0.7604074004923141,0.865223616144619,0.6330469964999701,0.6028634359774152,0.6028634359774152,coord_mlp_siren_experimental,runs\report_20260402\full\coord_mlp_siren\leaderboard.csv
unetpp,unetpp,table_plus_structure,8,0.7876925185354577,0.7997107603474771,0.7756742767234384,0.7315121692832864,0.7197452365287822,0.8356519397726219,0.8157877613090632,0.7197452365287822,unetpp_isolated_mainline,runs\report_20260402\full\unetpp\leaderboard.csv
deeponet_plasma,deeponet_plasma,table_plus_structure,9,0.5197858533939095,0.550220904344033,0.48935080244378587,0.7810440913888242,0.7913969166187387,0.17155224539859437,0.21340995636898596,0.17155224539859437,deeponet_isolated_mainline,runs\report_20260402\full\deeponet_plasma\leaderboard.csv
cno,cno,table_plus_structure,10,0.5157650437357024,0.6120289509343344,0.4195011365370705,0.1259647533056395,0.14421992197960953,0.6570330293276356,0.7507868415353973,0.1259647533056395,cno_isolated_experimental,runs\report_20260402\full\cno\leaderboard.csv
unet,unet,table_plus_structure,11,0.43476554329256856,0.6052681719023463,0.26426291468279084,-0.01615934348046788,-0.02756414182684863,0.5694353777987742,0.5313397662397057,-0.02756414182684863,unet_isolated_mainline,runs\report_20260402\full\unet\leaderboard.csv
global_mlp,global_mlp,table_only,,0.8586754167182176,0.7421912988646509,0.9751595345717843,0.9802227590572695,0.97987209673765,0.9653676458523455,0.9751756366398718,0.9653676458523455,global_frozen_ref_v2,runs\report_20260402\full\global_mlp\leaderboard.csv
