rank,name,model_id,target_family,primary_metric,primary_metric_value,continuity_grad_ratio_all_plasma,continuity_lap_ratio_all_plasma,geometry_provider_mode_effective,has_structure_inputs_effective,input_mode_effective,opt_best_uniformity,qoi_boundary_gamma_uniformity,qoi_uniformity,score_boundary_penalty,score_r2_plasma_mean,score_rmse_plasma_mean,score_total,score_total_dual,score_total_extrap,score_total_interp,single_boundary_operator_proxy_loss,single_boundary_residual_map_l2,single_poisson_residual,single_poisson_residual_map_l2,structure_adapter_mode_effective,structure_descriptor_profile_effective,structure_feature_profile_effective,structure_latent_profile_effective,test_neg_ratio_Te_plasma,test_neg_ratio_ne_plasma,test_neg_ratio_ni_plasma,test_neg_ratio_phi_plasma,test_poisson_phi,test_r2_Te,test_r2_Te_boundary_in,test_r2_Te_boundary_in_bc_dir,test_r2_Te_boundary_in_interface,test_r2_Te_boundary_in_wafer,test_r2_Te_plasma,test_r2_Te_plasma_deep,test_r2_Te_plasma_dual,test_r2_Te_plasma_extrap,test_r2_Te_plasma_interp,test_r2_ne,test_r2_ne_boundary_in,test_r2_ne_boundary_in_bc_dir,test_r2_ne_boundary_in_interface,test_r2_ne_boundary_in_wafer,test_r2_ne_plasma,test_r2_ne_plasma_deep,test_r2_ne_plasma_dual,test_r2_ne_plasma_extrap,test_r2_ne_plasma_interp,test_r2_ni,test_r2_ni_boundary_in,test_r2_ni_boundary_in_bc_dir,test_r2_ni_boundary_in_interface,test_r2_ni_boundary_in_wafer,test_r2_ni_plasma,test_r2_ni_plasma_deep,test_r2_ni_plasma_dual,test_r2_ni_plasma_extrap,test_r2_ni_plasma_interp,test_r2_phi,test_r2_phi_boundary_in,test_r2_phi_boundary_in_bc_dir,test_r2_phi_boundary_in_interface,test_r2_phi_boundary_in_wafer,test_r2_phi_plasma,test_r2_phi_plasma_deep,test_r2_phi_plasma_dual,test_r2_phi_plasma_extrap,test_r2_phi_plasma_interp,test_r2_plasma_mean_dual,test_r2_plasma_mean_extrap,test_r2_plasma_mean_interp,test_rmse_Te,test_rmse_Te_boundary_in,test_rmse_Te_boundary_in_bc_dir,test_rmse_Te_boundary_in_interface,test_rmse_Te_boundary_in_wafer,test_rmse_Te_chamber_near,test_rmse_Te_plasma,test_rmse_Te_plasma_deep,test_rmse_ne,test_rmse_ne_boundary_in,test_rmse_ne_boundary_in_bc_dir,test_rmse_ne_boundary_in_interface,test_rmse_ne_boundary_in_wafer,test_rmse_ne_chamber_near,test_rmse_ne_plasma,test_rmse_ne_plasma_deep,test_rmse_ni,test_rmse_ni_boundary_in,test_rmse_ni_boundary_in_bc_dir,test_rmse_ni_boundary_in_interface,test_rmse_ni_boundary_in_wafer,test_rmse_ni_chamber_near,test_rmse_ni_plasma,test_rmse_ni_plasma_deep,test_rmse_phi,test_rmse_phi_boundary_in,test_rmse_phi_boundary_in_bc_dir,test_rmse_phi_boundary_in_interface,test_rmse_phi_boundary_in_wafer,test_rmse_phi_chamber_near,test_rmse_phi_plasma,test_rmse_phi_plasma_deep,protocol_variant,merge_role,reference_type,source_leaderboard
1,global_mlp,global_mlp,,test_r2_plasma_mean_dual,0.9278625552323024,0.8669807462373205,0.860602017746517,fixed,False,table_only,1.332416660583625,2.304500309113384,1.2681760183023518,9.338833609202785,0.9167545266202395,367775147098113.06,183887573549057.1,187051949424641.38,190216325300225.66,183887573549057.1,3440.1064453125,11.57873821258545,1.1476495265960693,13.234731674194336,none,none,none,none,0.0,0.0,0.0,0.037289466708898544,155.97274780273438,0.9621063356587154,0.9663330129084531,,,0.9663330129084531,0.9553511290006008,-0.8522051322674724,0.9514958266737781,0.9476405243469554,0.9553511290006008,0.885672100972686,0.8976593636016772,,,0.8976593636016772,0.865236567972374,0.841753968658237,0.8926535076282747,0.9200704472841752,0.865236567972374,0.885119734028515,0.8955557189721619,,,0.8955557189721619,0.8625591907959691,0.8417296883562722,0.8904649588672348,0.9183707269385004,0.8625591907959691,0.9868643762216474,0.9784698999356537,,,0.9784698999356537,0.983871218712014,0.9359817325166773,0.9768359277599225,0.9698006368078309,0.983871218712014,0.9278625552323024,0.9389705838443654,0.9167545266202395,1.0040900707244873,2.026473045349121,,,2.026473045349121,7.80136397224851e-05,1.2995113134384155,0.3737134039402008,568230682820608.0,366498820390912.0,,,366498820390912.0,19669686272.0,735414365192192.0,844808457289728.0,568440733564928.0,370773151711232.0,,,370773151711232.0,14358450176.0,735686223200256.0,844588138889216.0,2.322500705718994,8.168909072875977,,,8.168909072875977,0.00019368458015378565,3.00582218170166,0.9693664312362671,global_frozen_ref_v2,single,candidate,runs\ext0520\full\global_mlp\leaderboard.csv
2,fno,fno,,test_r2_plasma_mean_dual,0.9261434887641002,0.9564150465376049,0.8121297335072795,fixed,True,table_plus_structure,0.1346671959718418,2.5917377867323053,1.1435107727481963,9.229730730839696,0.9432136529782318,281457603903489.2,140728801951745.14,180649484877825.56,220570167803905.97,140728801951745.14,2837.680419921875,10.516156196594238,1.1497215032577515,11.270240783691406,grid_pack,none,geom_v1_mainline,none,0.0,0.07776521146297455,0.02066679298877716,0.03529411926865578,130.13430786132812,0.9556124844729589,0.9490232116339948,,,0.9490232116339948,0.9529252345158288,0.01602036241240512,0.9320487361406541,0.9111722377654794,0.9529252345158288,0.9321952245843774,0.9202204113308421,,,0.9202204113308421,0.9211079618248376,0.9086597039132018,0.904544274607187,0.8879805873895364,0.9211079618248376,0.9319891489183229,0.9198001581788363,,,0.9198001581788363,0.919466454188748,0.9084373853124902,0.9071297243735668,0.8947929945583856,0.919466454188748,0.9804140137415157,0.970726173917393,,,0.970726173917393,0.9793549613835131,0.949665856213922,0.9608512199349935,0.9423474784864739,0.9793549613835131,0.9261434887641002,0.9090733245499688,0.9432136529782318,1.0867253541946411,2.493589401245117,,,2.493589401245117,0.4157451391220093,1.3343476057052612,0.2723875045776367,437601467105280.0,323589546967040.0,,,323589546967040.0,62781097246720.0,562681551519744.0,641834409787392.0,437372659433472.0,324902196346880.0,,,324902196346880.0,61302105964544.0,563148864094208.0,642398258462720.0,2.8359806537628174,9.525346755981445,,,9.525346755981445,1.776662826538086,3.4007160663604736,0.8595423698425293,fno_isolated_mainline,single,candidate,runs\ext0520\full\fno\leaderboard.csv
3,ffno,ffno,,test_r2_plasma_mean_dual,0.9165871246149426,0.9243082292370913,0.7650171609512906,fixed,True,table_plus_structure,0.21793098047592488,2.599823879843163,1.1319469244431077,9.25095929052803,0.9431464844466426,276028060598273.16,138014030299137.12,189672317779969.7,241330605260802.25,138014030299137.12,2892.072509765625,10.616463661193848,1.0432502031326294,11.07797908782959,grid_pack,none,geom_v1_mainline,none,0.0,0.14066742360591888,0.09653406590223312,0.034332580864429474,135.07164001464844,0.9485498238291319,0.9407154216404887,,,0.9407154216404887,0.9436160216918663,0.10476505537735392,0.9235987892890406,0.9035815568862149,0.9436160216918663,0.9348894157893226,0.9288277091168288,,,0.9288277091168288,0.9240565501742523,0.9111989990389369,0.8940445432376212,0.86403253630099,0.9240565501742523,0.9335498091910721,0.9258427523495876,,,0.9258427523495876,0.922610718430806,0.9112941855937635,0.8992437220766818,0.8758767257225575,0.922610718430806,0.9831368648869192,0.9770065130678096,,,0.9770065130678096,0.9823026474896459,0.9209185151619059,0.9494614438564275,0.916620240223209,0.9823026474896459,0.9165871246149426,0.8900277647832427,0.9431464844466426,1.1699917316436768,2.6891162395477295,,,2.6891162395477295,0.4958779513835907,1.4603357315063477,0.2598140239715576,428819366281216.0,305635644145664.0,,,305635644145664.0,62938601750528.0,552066372075520.0,632849942183936.0,432325233999872.0,312422799769600.0,,,312422799769600.0,93717671182336.0,552045870317568.0,632297233580032.0,2.6314775943756104,8.441963195800781,,,8.441963195800781,1.4623115062713623,3.1485939025878906,1.077391266822815,ffno_isolated_mainline,single,candidate,runs\ext0520\full\ffno\leaderboard.csv
4,coord_mlp_fourier,coord_mlp_fourier,,test_r2_plasma_mean_dual,0.9138670779896368,0.9207629719776993,0.8773774685846418,fixed,True,table_plus_structure,0.03067698390922316,2.6377793927375683,1.1916756991109245,9.394560463137255,0.9301844684237041,326871740841985.2,163435870420993.16,202800931799041.6,242165993177090.03,163435870420993.16,3303.984375,11.347345352172852,1.1703026294708252,12.481101036071777,coord_pack,none,geom_v1_mainline,none,0.0,0.07508484274148941,0.017046883702278137,0.03739316388964653,148.89617919921875,0.9602779913254816,0.9538127015862209,,,0.9538127015862209,0.9533304177980949,-0.029557059509809136,0.9314884087944334,0.9096463997907719,0.9533304177980949,0.9092234176204746,0.8936488162298043,,,0.8936488162298043,0.8930415470525342,0.8788660016838645,0.8809726671583258,0.8689037872641174,0.8930415470525342,0.9096425561366704,0.8973110636417989,,,0.8973110636417989,0.8919440878089635,0.8791910248244885,0.8806055548190337,0.8692670218291038,0.8919440878089635,0.9854358314749492,0.9775089529834732,,,0.9775089529834732,0.9824218210352237,0.9256029927383964,0.9624016811867544,0.942381541338285,0.9824218210352237,0.9138670779896368,0.8975496875555695,0.9301844684237042,1.028028130531311,2.37355899810791,,,2.37355899810791,0.13482773303985596,1.3285926580429077,0.2786245048046112,506332151021568.0,373611084906496.0,,,373611084906496.0,23544679366656.0,655169477935104.0,739136826769408.0,504132221796352.0,367644200927232.0,,,367644200927232.0,24065045692416.0,652317485432832.0,737895514112000.0,2.4455323219299316,8.349220275878906,,,8.349220275878906,0.746033251285553,3.137974739074707,1.0449938774108887,coord_mlp_fourier_experimental,single,candidate,runs\ext0520\full\coord_mlp_fourier\leaderboard.csv
5,unetpp_attn,unetpp_attn,,test_r2_plasma_mean_dual,0.8680010747114162,0.9392819704924162,0.9546390348698977,fixed,True,table_plus_structure,0.08711004823456492,4.649665812459996,1.1886373884195458,9.651927873579044,0.9090931942575975,363363192274945.44,181681596137473.3,250888123842561.94,320094651547650.56,181681596137473.3,2751.683349609375,10.355582237243652,1.1902409791946411,11.870440483093262,grid_pack,none,geom_v1_mainline,none,0.0,0.10603946447372437,0.031853318214416504,0.03614882007241249,145.01031494140625,0.9386296731842287,0.9297535205663576,,,0.9297535205663576,0.9329344165340493,0.15656181757306908,0.9078254541332853,0.8827164917325214,0.9329344165340493,0.8863574669227557,0.9203146079075742,,,0.9203146079075742,0.8673847551514298,0.8434370732730346,0.8200078110427969,0.772630866934164,0.8673847551514298,0.887409881942045,0.917594674211017,,,0.917594674211017,0.8669191092614731,0.8452250478324023,0.8184043162153244,0.7698895231691757,0.8669191092614731,0.9727836727191733,0.9629474519036431,,,0.9629474519036431,0.9691344960834379,0.8917972749523623,0.9257667174542579,0.8823989388250779,0.9691344960834379,0.8680010747114162,0.8269089551652348,0.9090931942575975,1.2778167724609375,2.9271907806396484,,,2.9271907806396484,0.5213571190834045,1.5926659107208252,0.2521858513355255,566524976824320.0,323398420922368.0,,,323398420922368.0,112858176159744.0,729529387581440.0,840303640576000.0,562746278019072.0,329339266662400.0,,,329339266662400.0,101400260378624.0,723923381518336.0,835209742254080.0,3.3430685997009277,10.716428756713867,,,10.716428756713867,1.9413784742355347,4.158140659332275,1.2602453231811523,unetpp_attn_isolated_mainline,single,candidate,runs\ext0520\full_unetpp_family_final_opt_lr4e4_e120_b6\unetpp_attn\leaderboard.csv
6,unetpp,unetpp,,test_r2_plasma_mean_dual,0.8677395103059321,0.9336832989564772,0.9899230763813212,fixed,True,table_plus_structure,0.2059733481775765,2.8741852959941525,1.196191399564028,9.355154394158072,0.9060680024214219,378923909120001.4,189461954560001.25,256252500246529.8,323043045933058.4,189461954560001.25,2982.400390625,10.780980110168457,1.2119140625,12.545554161071777,grid_pack,none,geom_v1_mainline,none,0.0,0.10784313827753067,0.045409124344587326,0.038797762244939804,146.04762268066406,0.9473704366936049,0.9411517241858094,,,0.9411517241858094,0.9410518267333706,0.19702437431538178,0.9101729274316053,0.87929402812984,0.9410518267333706,0.877421284681724,0.9179190793885118,,,0.9179190793885118,0.8568465855953356,0.8300417678090614,0.8109444353364197,0.7650422850775037,0.8568465855953356,0.8768444571991086,0.9148477567769506,,,0.9148477567769506,0.8541976674670885,0.8289698609226517,0.8116230789208534,0.7690484903746184,0.8541976674670885,0.9758148467699206,0.9662642674929357,,,0.9662642674929357,0.9721759298898933,0.8754787492894127,0.93821759953485,0.9042592691798066,0.9721759298898933,0.8677395103059321,0.8294110181904422,0.906068002421422,1.1833256483078003,2.6792027950286865,,,2.6792027950286865,0.4180508255958557,1.4931726455688477,0.24606242775917053,588377636208640.0,328223514689536.0,,,328223514689536.0,99493445894144.0,757961198665728.0,875513648250880.0,588558226161664.0,334783439699968.0,,,334783439699968.0,85592054431744.0,757734437814272.0,877973792096256.0,3.1514105796813965,10.225536346435547,,,10.225536346435547,1.5659849643707275,3.94796085357666,1.3519409894943237,unetpp_isolated_mainline,single,candidate,runs\ext0520\full_unetpp_family_final_opt_lr4e4_e120_b6\unetpp\leaderboard.csv
7,coord_mlp_siren,coord_mlp_siren,,test_r2_plasma_mean_dual,0.8219996958685158,0.918823250992319,0.6619118284679402,fixed,True,table_plus_structure,0.6416850823122046,3.364228101262478,1.1233882882169461,9.198714243912015,0.9133966233991662,306590771052545.94,153295385526273.5,248175382233090.44,343055378939907.4,153295385526273.5,2263.87060546875,9.392930030822754,0.930269181728363,9.373356819152832,coord_pack,none,geom_v1_mainline,none,0.0,0.10295060276985168,0.051118653267621994,0.034332580864429474,78.62934875488281,0.9131577182352615,0.9113956748478099,,,0.9113956748478099,0.9017707678508791,-2.7633204709975416,0.8156656952430049,0.7295606226351308,0.9017707678508791,0.9182097340961204,0.8082310802271979,,,0.8082310802271979,0.906172989368686,0.9004387071862358,0.7808323802619678,0.6554917711552496,0.906172989368686,0.9182959798806754,0.8141460145806797,,,0.8141460145806797,0.9046619780547945,0.8997273269491259,0.8567302252197331,0.8087984723846715,0.9046619780547945,0.9484562369744289,0.9094130312064963,,,0.9094130312064963,0.9409807583223055,0.7826438509875815,0.8347704827493573,0.728560207176409,0.9409807583223055,0.8219996958685158,0.7306027683378653,0.9133966233991663,1.5200400352478027,3.2875030040740967,,,3.2875030040740967,0.5457505583763123,1.9275037050247192,0.5326963663101196,480617342959616.0,501692613263360.0,,,501692613263360.0,199385082232832.0,613634929590272.0,670096167010304.0,479384754454528.0,494597360844800.0,,,494597360844800.0,180372839071744.0,612728154619904.0,672258884370432.0,4.600643634796143,16.756134033203125,,,16.756134033203125,2.242827892303467,5.749886989593506,1.7861666679382324,coord_mlp_siren_experimental,single,candidate,runs\ext0520\full\coord_mlp_siren\leaderboard.csv
8,unet,unet,,test_r2_plasma_mean_dual,0.81827506450608,0.9978409782248464,2.2131887405885178,fixed,True,table_plus_structure,0.18422644794644277,2.592306851200209,1.1809656410198304,9.25634186209173,0.8886989340470333,392136067383297.8,196068033691649.5,308380191162370.0,420692348633090.5,196068033691649.5,2913.773193359375,10.656219482421875,1.626366138458252,12.16221809387207,grid_pack,none,geom_v1_mainline,none,0.0,0.07624748349189758,0.04009866714477539,0.037961915135383606,150.5212860107422,0.9265257960576831,0.9077450246237025,,,0.9077450246237025,0.9160928734162719,0.1707367332125982,0.8962359109890972,0.8763789485619223,0.9160928734162719,0.8678594356739355,0.9198239832044766,,,0.9198239832044766,0.8455846169668195,0.8145493081697264,0.7286057091119887,0.611626801257158,0.8455846169668195,0.8695838483208347,0.9164212336169316,,,0.9164212336169316,0.8449746356727502,0.8180797199295551,0.7215149526876443,0.5980552697025385,0.8449746356727502,0.9555610516624252,0.9397101543147511,,,0.9397101543147511,0.9481436101322911,0.7937195267012036,0.9267436852355896,0.9053437603388881,0.9481436101322911,0.81827506450608,0.7478511949651268,0.8886989340470333,1.3981599807739258,3.3545451164245605,,,3.3545451164245605,0.43057236075401306,1.7814526557922363,0.25005775690078735,610895210217472.0,324392504524800.0,,,324392504524800.0,75841631420416.0,787211335237632.0,914546982125568.0,605658973995008.0,331675863089152.0,,,331675863089152.0,70864703848448.0,781332934295552.0,905494466134016.0,4.271814823150635,13.669829368591309,,,13.669829368591309,1.286084771156311,5.389688491821289,1.7400634288787842,unet_isolated_mainline,single,candidate,runs\ext0520\full_unet_final_opt_wd1e3_e120_b6\unet\leaderboard.csv
9,u_no,u_no,,test_r2_plasma_mean_dual,0.809767988472843,1.2526691600861959,1.135904147980322,fixed,True,table_plus_structure,0.2925602677434745,2.878602017246542,1.373806245799105,9.693023457031408,0.8673662505435005,401017153781761.5,200508576890881.38,283892066025474.1,367275555160066.94,200508576890881.38,4176.8359375,12.758481979370117,1.3862090110778809,14.71747875213623,grid_pack,none,geom_v1_mainline,none,9.611687710275874e-05,0.0533929243683815,0.029330065473914146,0.035887639969587326,223.94210815429688,0.9270005504881205,0.887485193603642,,,0.887485193603642,0.914045015469504,-0.6666992233908728,0.8435207437531413,0.7729964720367786,0.914045015469504,0.828114204630824,0.8190397184416439,,,0.8190397184416439,0.7893385475190902,0.7545137668195181,0.7418392146247133,0.6943398817303363,0.7893385475190902,0.8350466704369013,0.8226162323832983,,,0.8226162323832983,0.7937129451018838,0.7684361151316618,0.7485704271700526,0.7034279092382214,0.7937129451018838,0.9764475926047533,0.9659614596695156,,,0.9659614596695156,0.9723684940835241,0.8533255194852566,0.9051415683434649,0.8379146426034056,0.9723684940835241,0.809767988472843,0.7521697264021855,0.8673662505435006,1.3888883590698242,3.706724166870117,,,3.706724166870117,0.5257861614227295,1.7800458669662476,0.4315304458141327,627551898697728.0,435946193420288.0,,,435946193420288.0,60523366318080.0,811375827877888.0,911949801979904.0,613090878029824.0,431285247934464.0,,,431285247934464.0,69378875850752.0,792692787249152.0,885128268087296.0,3.1911933422088623,10.545391082763672,,,10.545391082763672,0.8652501106262207,4.066410064697266,1.3934359550476074,default,single,candidate,runs\ext0520\full\u_no\leaderboard.csv
10,deeponet_pod,deeponet_pod,,test_r2_plasma_mean_dual,0.7472251731305128,0.9662698018849345,0.9454076063270815,parametric_parts,True,table_plus_structure,1.032897631142805,1.972322254889262,1.1953649713005259,7.062504551387092,0.6950102760654914,604949163540483.2,302474581770242.06,312714228400130.25,322953875030018.5,302474581770242.06,391.74517822265625,3.9036338329315186,1.000434160232544,11.919891357421875,hybrid_pack_descriptor,struct_desc_v1,geom_v1_mainline,none,0.0,0.0,0.0,0.04559137672185898,146.7516326904297,0.731531024816415,0.7172043808682506,,,0.7172043808682506,0.6836717462445135,0.20571658537641735,0.7359389685144428,0.788206190784372,0.6836717462445135,0.6925809241886216,0.6995946699896811,,,0.6995946699896811,0.6376313209673761,0.5900180732448446,0.6989025233500946,0.7601737257328132,0.6376313209673761,0.6872456066304317,0.6849032091270966,,,0.6849032091270966,0.6258259279400177,0.5847738083292939,0.699982359990021,0.7741387920400242,0.6258259279400177,0.8639200552534732,0.7907584759081008,,,0.7907584759081008,0.8329121091100581,0.7382869336487788,0.8540768406674928,0.8752415722249276,0.8329121091100581,0.7472251731305128,0.7994400701955342,0.6950102760654914,2.6726152896881104,5.873204231262207,,,5.873204231262207,7.152557373046875e-07,3.458946704864502,0.2447269707918167,931781343707136.0,627917172244480.0,,,627917172244480.0,536870912.0,1205928166686720.0,1359797249114112.0,937916570271744.0,644002965618688.0,,,644002965618688.0,134217728.0,1213868487475200.0,1368004797399040.0,7.475282669067383,25.46624755859375,,,25.46624755859375,7.62939453125e-06,9.674644470214844,1.9599665403366089,deeponet_pod_experimental,single,candidate,runs\ext0520\full\deeponet_pod_hybrid\leaderboard.csv
