name,model_id,input_mode_effective,candidate_rank,test_r2_plasma_mean_dual,test_r2_plasma_mean_interp,test_r2_plasma_mean_extrap,test_r2_ne_plasma_extrap,test_r2_ni_plasma_extrap,test_r2_Te_plasma_extrap,test_r2_phi_plasma_extrap,min_var_extrap,protocol_variant,source_leaderboard
fno,fno,table_plus_structure,1,0.9261434887641002,0.9432136529782318,0.9090733245499688,0.8879805873895364,0.8947929945583856,0.9111722377654794,0.9423474784864739,0.8879805873895364,fno_isolated_mainline,runs\ext0520\full\fno\leaderboard.csv
ffno,ffno,table_plus_structure,2,0.9165871246149426,0.9431464844466426,0.8900277647832427,0.86403253630099,0.8758767257225575,0.9035815568862149,0.916620240223209,0.86403253630099,ffno_isolated_mainline,runs\ext0520\full\ffno\leaderboard.csv
coord_mlp_fourier,coord_mlp_fourier,table_plus_structure,3,0.9138670779896368,0.9301844684237042,0.8975496875555695,0.8689037872641174,0.8692670218291038,0.9096463997907719,0.942381541338285,0.8689037872641174,coord_mlp_fourier_experimental,runs\ext0520\full\coord_mlp_fourier\leaderboard.csv
unetpp_attn,unetpp_attn,table_plus_structure,4,0.8680010747114162,0.9090931942575975,0.8269089551652348,0.772630866934164,0.7698895231691757,0.8827164917325214,0.8823989388250779,0.7698895231691757,unetpp_attn_isolated_mainline,runs\ext0520\full_unetpp_family_final_opt_lr4e4_e120_b6\unetpp_attn\leaderboard.csv
unetpp,unetpp,table_plus_structure,5,0.8677395103059321,0.906068002421422,0.8294110181904422,0.7650422850775037,0.7690484903746184,0.87929402812984,0.9042592691798066,0.7650422850775037,unetpp_isolated_mainline,runs\ext0520\full_unetpp_family_final_opt_lr4e4_e120_b6\unetpp\leaderboard.csv
coord_mlp_siren,coord_mlp_siren,table_plus_structure,6,0.8219996958685158,0.9133966233991663,0.7306027683378653,0.6554917711552496,0.8087984723846715,0.7295606226351308,0.728560207176409,0.6554917711552496,coord_mlp_siren_experimental,runs\ext0520\full\coord_mlp_siren\leaderboard.csv
unet,unet,table_plus_structure,7,0.81827506450608,0.8886989340470333,0.7478511949651268,0.611626801257158,0.5980552697025385,0.8763789485619223,0.9053437603388881,0.5980552697025385,unet_isolated_mainline,runs\ext0520\full_unet_final_opt_wd1e3_e120_b6\unet\leaderboard.csv
u_no,u_no,table_plus_structure,8,0.809767988472843,0.8673662505435006,0.7521697264021855,0.6943398817303363,0.7034279092382214,0.7729964720367786,0.8379146426034056,0.6943398817303363,default,runs\ext0520\full\u_no\leaderboard.csv
deeponet_pod,deeponet_pod,table_plus_structure,9,0.7472251731305128,0.6950102760654914,0.7994400701955342,0.7601737257328132,0.7741387920400242,0.788206190784372,0.8752415722249276,0.7601737257328132,deeponet_pod_experimental,runs\ext0520\full\deeponet_pod_hybrid\leaderboard.csv
cno,cno,table_plus_structure,10,0.5870798932078372,0.6334366324162721,0.5407231539994022,0.43999614569203704,0.4277970690313535,0.5790309125871005,0.7160684886871177,0.4277970690313535,default,runs\ext0520\full\cno\leaderboard.csv
deeponet_plasma,deeponet_plasma,table_plus_structure,11,0.45173095975647826,0.4891806581344187,0.4142812613785379,0.6662603217354719,0.6741017135567783,0.13381478215502252,0.1829482280668786,0.13381478215502252,deeponet_isolated_mainline,runs\ext0520\full\deeponet_plasma\leaderboard.csv
geom_deeponet_siren,geom_deeponet_siren,table_plus_structure,12,0.16895280271207422,0.28281260087915694,0.0550930045449915,0.07491937709851659,0.043022285537877236,-0.05113815755241413,0.1535685130959863,-0.05113815755241413,default,runs\ext0520\full\geom_deeponet_siren\leaderboard.csv
global_mlp,global_mlp,table_only,,0.9278625552323024,0.9167545266202395,0.9389705838443654,0.9200704472841752,0.9183707269385004,0.9476405243469554,0.9698006368078309,0.9183707269385004,global_frozen_ref_v2,runs\ext0520\full\global_mlp\leaderboard.csv
