model,split,field,field_label,units,n_cases,mean_rel_rmse,std_rel_rmse,median_rel_rmse,min_rel_rmse,max_rel_rmse,mean_signed_peak_percent_error,mean_abs_peak_percent_error
ffno,interp,ne,$n_e$,m^-3,13,0.01812794342151776,0.006447570604060989,0.017632543876254445,0.011274424650340556,0.03227216962881999,0.013445201521337071,0.40318274494466116
ffno,interp,ni,$n_i$,m^-3,13,0.017974346440060882,0.006215990893942985,0.01729571903213989,0.010485612931905829,0.031214146038991815,0.020278290034603068,0.403562494831703
ffno,interp,Te,$T_e$,eV,13,0.02583363100729769,0.007795641264696959,0.024609022108307073,0.01731616114907488,0.04507571666319155,0.0009386059354237624,0.17446658484145752
ffno,interp,phi,$\phi$,V,13,0.01171978917564442,0.002033379508585147,0.012129205270649727,0.009121446046870698,0.014622577790666082,0.004277674880561149,0.16153644973001194
deeponet_pod,interp,ne,$n_e$,m^-3,13,0.029447027868368288,0.016718760341408803,0.021108388960168558,0.009777529378319286,0.06275424100839548,0.0009624771067236043,0.5314607257791608
deeponet_pod,interp,ni,$n_i$,m^-3,13,0.025967172571250727,0.014831022835508051,0.021099852473188463,0.009689214269934503,0.053802281481335174,0.004641805164761408,0.5083509197116431
deeponet_pod,interp,Te,$T_e$,eV,13,0.04370083167287248,0.020746834286105895,0.03637447041129315,0.01991899949523383,0.08979478019460026,-0.0014703911239269134,0.19558804977316943
deeponet_pod,interp,phi,$\phi$,V,13,0.015184384120475155,0.006645426672992328,0.014259213492512994,0.008096305951336397,0.03205085346252361,0.024278296401607165,0.11410138677344106
global_mlp,interp,ne,$n_e$,m^-3,13,0.28595727523741865,0.23484949692502285,0.19535133047814263,0.07756977071942188,0.7198217947501492,0.865527820125901,5.250294151938015
global_mlp,interp,ni,$n_i$,m^-3,13,0.28113126835544844,0.23021936100591373,0.18925646770432208,0.07599010030392238,0.6996921916961151,0.8623549843559251,5.297159256871562
global_mlp,interp,Te,$T_e$,eV,13,0.3132311895463559,0.20627034449150744,0.2710332110571558,0.09072945047556194,0.8620493439408496,0.40000770932362106,1.15471531186841
global_mlp,interp,phi,$\phi$,V,13,0.1695256299917101,0.10687006714465261,0.11808948769969123,0.059045271256169686,0.44367084932776046,-0.05392180004966428,0.8485144309831848
