model_id,model,family,train_size,n_test_cases,source_spatial_summary,case_macro_mean_relative_rmse,case_macro_median_relative_rmse,case_macro_p90_relative_rmse,case_macro_worst_relative_rmse,case_macro_std_relative_rmse,case_macro_mean_relative_gradient_error,case_macro_median_relative_gradient_error,case_macro_p90_relative_gradient_error,case_macro_worst_relative_gradient_error,case_macro_std_relative_gradient_error,case_macro_mean_relative_rmse_ratio_vs_n54,case_macro_mean_relative_gradient_error_ratio_vs_n54
global_mlp,Global MLP,Neural network,24,13,runs/gec_ccp_global_mlp_regularized_v1/evaluation/spatial/n24/spatial_plot_summary.csv,0.19552312862497387,0.17120874706105543,0.2682960422876895,0.36295130148522053,0.0816368420642827,0.385204991321715,0.29269390641240595,0.5920787328912275,0.6904201566124576,0.15505978348362842,1.1575371110000112,1.1623279855946318
global_resmlp,ResMLP,Neural network,24,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n24/spatial_plot_summary.csv,0.07664508035300444,0.0736358279988786,0.0993043469461784,0.11189773781919193,0.018283392694445556,0.1881961035948972,0.17575018633206105,0.2562288477636857,0.2686414551108782,0.050435288520642475,1.674315136682619,1.3940334076431962
global_densemlp,DenseMLP,Neural network,24,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n24/spatial_plot_summary.csv,0.13097149883548426,0.10918773820107339,0.18491973917064786,0.32804137619290724,0.07362385778104956,0.23141681842484685,0.22453679235240565,0.2820349335933688,0.5354663129956537,0.10493675669483538,2.00861691727822,1.8026115650103338
unet,U-Net,Neural network,24,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n24/spatial_plot_summary.csv,0.07227185699188651,0.0707362021202604,0.08485522506152993,0.10605570739811329,0.01383395844515866,0.2844756672227502,0.2601566194732456,0.37683654106844217,0.4371352601219727,0.08377731137650475,2.0122417113684703,1.5028115331136105
unetpp,U-Net++,Neural network,24,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n24/spatial_plot_summary.csv,0.09030818736435126,0.0927817527915282,0.11313777860828161,0.12141252474556638,0.019030864763229127,0.3425615400319804,0.32476134848457305,0.4459819940831417,0.5177014492774272,0.09658481573386346,1.665999180161485,1.3577407326507045
fno,FNO,Neural operator,24,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n24/spatial_plot_summary.csv,0.048780105748934204,0.04461709437109926,0.06543892620952675,0.06930907234191971,0.010842995251358086,0.21616675417303768,0.22515037848615083,0.25378049577282874,0.2791845431982893,0.03502809592111778,1.75983445314494,1.300675777683141
ffno,FFNO,Neural operator,24,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n24/spatial_plot_summary.csv,0.03516683219346294,0.033288788285044904,0.050472240914798155,0.053233869747050355,0.0092168910101189,0.1664448085496548,0.17110331986140176,0.20643321162831355,0.21429387051721485,0.03191668376840948,1.909795298814257,1.3545788032693562
u_no,U-NO,Neural operator,24,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n24/spatial_plot_summary.csv,0.027319639962245103,0.024502594718011222,0.03993584861439486,0.06004353990920004,0.011955761653159739,0.12011857229921921,0.11783524987163568,0.15184632637476364,0.1572177390579686,0.02576915354352166,2.3320735531165826,1.2502250427579116
cno,CNO,Neural operator,24,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n24/spatial_plot_summary.csv,0.06433558002264735,0.06538685342450501,0.07850722046747487,0.0820598571124676,0.012026949021889196,0.23780299137226812,0.23727744892088445,0.28735536033634285,0.3091019522241608,0.039901910403637685,1.6093350462233627,1.2556575097716005
deeponet_pod,DeepONet,Neural operator,24,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n24/spatial_plot_summary.csv,0.06551853290349975,0.061864794692334094,0.0985010910921523,0.10202154447854743,0.02590119129523751,0.14597767572342293,0.14927534803754125,0.20104119821709063,0.24757048808620885,0.05383184816484637,2.292873754314159,1.7310429516188364
