case,radial_bin,radius_cm,comsol_bohm_flux_m2_s,formal_dimension_bohm_flux_m2_s,formal_sdf_bohm_flux_m2_s,e1_causal_em_bohm_flux_m2_s
anchor,1,2.245806168292391,1.71691627449166e+20,1.8688006284093473e+20,1.7089900367821665e+20,1.7071332298711902e+20
anchor,2,5.39165330402977,1.909935105287709e+20,2.1975294247949674e+20,1.8842392114883307e+20,1.8565267120112727e+20
anchor,3,7.0265064942610564,2.049397204261578e+20,2.3715451664096454e+20,2.101430736753086e+20,2.037450312794282e+20
anchor,4,8.334719221586703,2.146740885955956e+20,2.4733307758534794e+20,2.1335096959386085e+20,2.152090174122216e+20
anchor,5,9.460321692019834,2.1995920601765665e+20,2.4667544140463384e+20,2.214432857402555e+20,2.1915783971799574e+20
anchor,6,10.464150973336217,2.2191030091655895e+20,2.4499815191473907e+20,2.2367478649221582e+20,2.1792508090912653e+20
anchor,7,11.379082535111348,2.2053041257681673e+20,2.429284740685906e+20,2.2463787827419582e+20,2.187811839359777e+20
anchor,8,12.2253505582234,2.160981978341239e+20,2.4285214517024345e+20,2.284840613462067e+20,2.1891779453283457e+20
anchor,9,13.016482386627139,2.0971962730614794e+20,2.3655410178471022e+20,2.219861164398081e+20,2.090919535007752e+20
anchor,10,13.762059862103577,2.0265860895757887e+20,2.263267855539194e+20,2.138999137287681e+20,2.0240957647236396e+20
anchor,11,14.46916776999303,1.938695887102565e+20,2.1709461273945847e+20,1.9860386043009748e+20,1.9826543489155098e+20
anchor,12,15.143221548036674,1.8456107375749572e+20,2.0555121304605085e+20,1.8232634502678983e+20,1.8505092598555578e+20
anchor,13,15.788471896905213,1.7445594041482517e+20,1.9840768610740663e+20,1.7469858063565e+20,1.7320400769201036e+20
anchor,14,16.408328455119364,1.6402392436053665e+20,1.9347336274143406e+20,1.750191103863736e+20,1.595297948726237e+20
anchor,15,17.005576122987115,1.5405094502366105e+20,1.815383379128379e+20,1.6988430701832854e+20,1.4568745563892939e+20
anchor,16,17.582524633399615,1.4450084924494242e+20,1.7251452902863238e+20,1.574568138668029e+20,1.3677710617427527e+20
anchor,17,18.141114965062243,1.3564997776270387e+20,1.714623730056459e+20,1.514688478964418e+20,1.378508386418538e+20
anchor,18,18.682996920004733,1.2807470412393582e+20,1.655367513696262e+20,1.4313301091941556e+20,1.3481643045894527e+20
anchor,19,19.209586883824628,1.2373413775419664e+20,1.566731522241069e+20,1.3249284221662667e+20,1.3065363181225294e+20
anchor,20,19.72211162979255,1.3107191060740224e+20,1.721236880085932e+20,1.438514733922494e+20,1.3886823990548432e+20
spacing_left,1,2.245806168292391,2.1475759857406584e+20,1.8688006284093473e+20,1.7923957364856616e+20,1.8619810750552238e+20
spacing_left,2,5.39165330402977,2.3007228012822292e+20,2.1975294247949674e+20,1.955578225930389e+20,2.0885728728204175e+20
spacing_left,3,7.0265064942610564,2.3840292177840305e+20,2.3715451664096454e+20,2.098482519581413e+20,2.1578075632622626e+20
spacing_left,4,8.334719221586703,2.4183537754653485e+20,2.4733307758534794e+20,2.108968135016674e+20,2.1859945756113286e+20
spacing_left,5,9.460321692019834,2.4070517184942935e+20,2.4667544140463384e+20,2.1857705064687734e+20,2.195191823359982e+20
spacing_left,6,10.464150973336217,2.365501745037842e+20,2.4499815191473907e+20,2.2031548959550118e+20,2.1672041719211223e+20
