representation,nncoil,rank,bohm_max_deviation,mean_bohm_flux,mean_density,density_feasible,geometry_feasible,geometry_margin_cm,spacing_std_cm,height_span_cm,size_span_cm,llcoil,rrc,rrce,zzc,pp,pp0,r_center_01,z_center_01,coil_size_01,r_center_02,z_center_02,coil_size_02,r_center_03,z_center_03,coil_size_03,r_center_04,z_center_04,coil_size_04,r_center_05,z_center_05,coil_size_05,r_center_06,z_center_06,coil_size_06,stage,restart,generation,evaluation,vector_json
dimension,2,1000.2263793945312,0.24602723121643066,1.505740360367609e+20,7.73633045776302e+16,False,True,4.76837158203125e-07,0.0,0.0,0.0,0.7059890031814575,7.897422790527344,26.460094451904297,3.0791752338409424,1212.8236083984375,0.051575567573308945,8.250417709350586,17.432170867919922,0.7059890031814575,17.531753540039062,17.432170867919922,0.7059890031814575,,,,,,,,,,,,,sobol,-1,-1,0,"[-1.5777184963226318,1.199461817741394,0.697057843208313,0.5454254150390625,-0.9932002425193787,0.3046375513076782]"
dimension,2,1000.0829467773438,0.3166745901107788,1.9234812435848233e+20,9.170789405084877e+16,False,True,0.0,0.0,0.0,0.0,1.284933090209961,6.008157730102539,21.827531814575195,0.43480706214904785,2607.494873046875,0.030069980770349503,6.6506242752075195,15.07727336883545,1.284933090209961,14.560311317443848,15.07727336883545,1.284933090209961,,,,,,,,,,,,,sobol,-1,-1,1,"[1.5199953317642212,-0.000845789909362793,-1.8140063285827637,-3.4421916007995605,1.9212311506271362,-0.7720065116882324]"
dimension,2,1000.9658813476562,0.4398573637008667,1.2212208579498738e+19,3410376637022208.0,False,True,0.0,0.0,0.0,0.0,1.4315757751464844,9.458559036254883,29.268795013427734,4.655444145202637,2858.07177734375,0.004483914002776146,10.174346923828125,19.371232986450195,1.4315757751464844,20.079465866088867,19.371232986450195,1.4315757751464844,,,,,,,,,,,,,sobol,-1,-1,2,"[4.1867170333862305,4.637609481811523,4.352026462554932,4.8151535987854,3.9142322540283203,-4.916539669036865]"
dimension,2,0.5414906740188599,0.5414906740188599,2.2430070631783884e+20,1.2261006348648448e+17,True,True,0.0,0.0,0.0,0.0,0.5699459910392761,2.612109422683716,20.955810546875,0.9093545079231262,697.8922729492188,0.08543787896633148,2.8970823287963867,15.194327354431152,0.5699459910392761,12.06893253326416,15.194327354431152,0.5699459910392761,,,,,,,,,,,,,sobol,-1,-1,3,"[-3.9704697132110596,-4.063765048980713,-3.1544547080993652,-1.8232214450836182,-2.987020492553711,4.133622646331787]"
dimension,2,1000.1148681640625,0.30481070280075073,1.6389726703126682e+20,8.85155135792087e+16,False,True,0.0,0.0,0.0,0.0,0.5881253480911255,9.29587173461914,23.306133270263672,2.4182562828063965,624.5200805664062,0.07634147256612778,9.589934349060059,16.71232032775879,0.5881253480911255,16.59506607055664,16.71232032775879,0.5881253480911255,,,,,,,,,,,,,sobol,-1,-1,4,"[-3.2068798542022705,3.3864636421203613,-0.8072271943092346,-0.06964713335037231,-4.097330570220947,1.9409096240997314]"
dimension,2,1000.4658813476562,0.23413288593292236,1.2020350177619267e+20,5.341486328787763e+16,False,True,2.384185791015625e-07,0.0,0.0,0.0,1.4215776920318604,2.891674280166626,28.000598907470703,4.532431602478027,2731.76708984375,0.019373826682567596,3.6024632453918457,19.243221282958984,1.4215776920318604,16.156925201416016,19.243221282958984,1.4215776920318604,,,,,,,,,,,,,sobol,-1,-1,5,"[3.616079807281494,-2.8126187324523926,1.6800343990325928,3.286180019378662,2.5255913734436035,-1.4698630571365356]"
dimension,2,1000.9200439453125,0.4617205858230591,2.32488083314631e+19,7997694572232704.0,False,True,0.0,0.0,0.0,0.0,1.144565463066101,8.967633247375488,20.73342514038086,0.33953869342803955,2209.27783203125,0.007968578487634659,9.539916038513184,14.911821365356445,1.144565463066101,15.422811508178711,14.911821365356445,1.144565463066101,,,,,,,,,,,,,sobol,-1,-1,6,"[0.6770646572113037,2.4506044387817383,-4.1448140144348145,-4.6671142578125,0.8491528034210205,-2.958756446838379]"
dimension,2,1000.1309204101562,0.274135947227478,1.586630111409136e+20,8.690690229796864e+16,False,True,0.0,0.0,0.0,0.0,0.7527278661727905,4.057061195373535,29.082080841064453,3.7868804931640625,775.540771484375,0.08481843024492264,4.433424949645996,18.163244247436523,0.7527278661727905,16.94593620300293,18.163244247436523,0.7527278661727905,,,,,,,,,,,,,sobol,-1,-1,7,"[-1.2451130151748657,-1.251988410949707,3.347632884979248,1.3504564762115479,-2.421713352203369,3.738034248352051]"
dimension,2,0.4949697256088257,0.4949697256088257,6.308647987520125e+20,3.475063193154355e+17,True,True,0.0,0.0,0.0,0.0,0.9462575912475586,9.38637924194336,20.69143295288086,4.41423225402832,2434.505859375,0.08606311678886414,9.859508514404297,18.887361526489258,0.9462575912475586,15.512035369873047,18.887361526489258,0.9462575912475586,,,,,,,,,,,,,sobol,-1,-1,8,"[-0.2385839819908142,3.899416923522949,-4.515586853027344,2.7002291679382324,1.3714033365249634,4.792118072509766]"
dimension,2,1000.9805908203125,0.3036019802093506,6.780915257645728e+18,1938024803860480.0,False,True,2.384185791015625e-07,0.0,0.0,0.0,1.0730812549591064,2.5453941822052,28.95438003540039,1.7996302843093872,1492.4703369140625,0.004967182874679565,3.081934928894043,16.336170196533203,1.0730812549591064,16.286426544189453,16.336170196533203,1.0730812549591064,,,,,,,,,,,,,sobol,-1,-1,9,"[0.33467888832092285,-4.8978376388549805,2.9762470722198486,-0.6555220484733582,-0.44316530227661133,-4.321702003479004]"
