representation,model_id,model_label,family,test_case_count,case_macro_relative_rmse_ne_pct,case_macro_relative_rmse_ni_pct,case_macro_relative_rmse_Te_pct,case_macro_relative_rmse_phi_pct,run_root,source_metrics
dimension,unet,U-Net,neural_network,36,13.749776518692258,13.761816225279674,6.876673651280586,5.1427284240712385,runs/icp_stage4_axisymmetric_dimension_v4,runs/icp_stage4_axisymmetric_dimension_v4/models/unet/eval_protocol/structure_holdout/eval/spatial_distribution_by_case.csv
dimension,unetpp,U-Net++,neural_network,36,13.77834921723907,13.806446490057276,6.219598254619304,4.871071118524717,runs/icp_unetpp_bohm_case_v1/full/dimension/unetpp/ch32_lr3e4,runs/icp_unetpp_bohm_case_v1/full/dimension/unetpp/ch32_lr3e4/models/unetpp/eval_protocol/structure_holdout/eval/spatial_distribution_by_case.csv
dimension,unetpp_attn,Attention U-Net++,neural_network,36,13.145010388043424,13.13143781605951,6.400581242180762,4.712039218544022,runs/icp_unetpp_bohm_case_v1/full/dimension/unetpp_attn/ch32_red2_lr3e4,runs/icp_unetpp_bohm_case_v1/full/dimension/unetpp_attn/ch32_red2_lr3e4/models/unetpp_attn/eval_protocol/structure_holdout/eval/spatial_distribution_by_case.csv
dimension,ffno,FFNO,neural_operator,36,11.202645095497019,11.183650652330229,3.103554805979842,3.119401779971402,runs/icp_axisymmetric_operator_case_v1/final/dimension/ffno/seed_1237,runs/icp_axisymmetric_operator_case_v1/final/dimension/ffno/seed_1237/models/ffno/eval_protocol/structure_holdout/eval/spatial_distribution_by_case.csv
dimension,u_no,UNO,neural_operator,36,8.791949057530307,8.818303758584694,2.5506972582870673,2.073082122843167,runs/icp_axisymmetric_operator_case_v1/final/dimension/u_no/seed_1237,runs/icp_axisymmetric_operator_case_v1/final/dimension/u_no/seed_1237/models/u_no/eval_protocol/structure_holdout/eval/spatial_distribution_by_case.csv
dimension,cno,CNO,neural_operator,36,6.971979895896833,7.00463913930646,2.4391318761670973,2.3306777079982326,runs/icp_axisymmetric_operator_case_v1/final/dimension/cno/seed_1237,runs/icp_axisymmetric_operator_case_v1/final/dimension/cno/seed_1237/models/cno/eval_protocol/structure_holdout/eval/spatial_distribution_by_case.csv
union_sdf,unet,U-Net,neural_network,36,18.84603393751915,18.841279033170316,4.581451826076869,5.2209284277842505,runs/icp_stage4_axisymmetric_neumann_v4,runs/icp_stage4_axisymmetric_neumann_v4/models/unet/eval_protocol/structure_holdout/eval/spatial_distribution_by_case.csv
union_sdf,unetpp,U-Net++,neural_network,36,20.614063155032785,20.543495190525622,4.380752842955467,4.890720482071604,runs/icp_unetpp_bohm_case_v1/full/sdf/unetpp/ch32_lr3e4,runs/icp_unetpp_bohm_case_v1/full/sdf/unetpp/ch32_lr3e4/models/unetpp/eval_protocol/structure_holdout/eval/spatial_distribution_by_case.csv
union_sdf,unetpp_attn,Attention U-Net++,neural_network,36,21.070191222689004,21.07775271899541,4.771319833475267,5.309110232900877,runs/icp_unetpp_learned_stem_v1/full/sdf/unetpp_attn/ch32_red2_lr3e4,runs/icp_unetpp_learned_stem_v1/full/sdf/unetpp_attn/ch32_red2_lr3e4/models/unetpp_attn/eval_protocol/structure_holdout/eval/spatial_distribution_by_case.csv
union_sdf,ffno,FFNO,neural_operator,36,10.312321086229456,10.305796728032718,2.9831681717730185,2.82215772903668,runs/icp_axisymmetric_operator_case_v1/final/union_sdf/ffno/seed_1237,runs/icp_axisymmetric_operator_case_v1/final/union_sdf/ffno/seed_1237/models/ffno/eval_protocol/structure_holdout/eval/spatial_distribution_by_case.csv
union_sdf,u_no,UNO,neural_operator,36,7.51817354165605,7.505007984057521,1.8270904480814767,1.7497490158666904,runs/icp_axisymmetric_operator_case_v1/final/union_sdf/u_no/seed_1237,runs/icp_axisymmetric_operator_case_v1/final/union_sdf/u_no/seed_1237/models/u_no/eval_protocol/structure_holdout/eval/spatial_distribution_by_case.csv
union_sdf,cno,CNO,neural_operator,36,10.420124885232754,10.455023867158586,2.4896784511597634,2.960096110185552,runs/icp_axisymmetric_operator_case_v1/final/union_sdf/cno/seed_1237,runs/icp_axisymmetric_operator_case_v1/final/union_sdf/cno/seed_1237/models/cno/eval_protocol/structure_holdout/eval/spatial_distribution_by_case.csv
