model,var,target_region,r2,rmse
ffno,ne,plasma_only,0.9703217890518963,1.661844489592142e+17
ffno,ni,plasma_only,0.973403810770126,1.5731796615577446e+17
ffno,Te,plasma_only,0.9746162444143268,0.22321843715735165
ffno,phi,plasma_only,0.9806073336466437,0.5495595582466958
ffno,Br,all_domain,0.946908411752641,6.006962067392145e-05
ffno,Bz,all_domain,0.7784949680497494,0.00013164426714048846
ffno,Jelr,plasma_only,0.9514376052071092,20.445977245348153
ffno,Jelz,plasma_only,0.9384835796635046,30.215654788296952
unet,ne,plasma_only,-0.8034312293328167,1.2954519695757233e+18
unet,ni,plasma_only,0.0243356593163081,9.528374806840911e+17
unet,Te,plasma_only,0.9240513752401335,0.38611091738212755
unet,phi,plasma_only,0.9506610875192401,0.876578449242331
unet,Br,all_domain,0.8813364547131632,8.98050358287045e-05
unet,Bz,all_domain,0.7586691200438274,0.0001374094499330173
unet,Jelr,plasma_only,0.8539979487091305,35.451719486015534
unet,Jelz,plasma_only,0.8802485135838504,42.157702869280754
