sampler,count,n_trials,n_top10,top10_rate,best_value
feature archive,2,103,16,0.1553398058252427,0.1423866082540388
feature archive,3,102,9,0.08823529411764706,0.1179536181500383
feature archive,4,102,16,0.1568627450980392,0.1239560931465181
feature archive,5,102,6,0.058823529411764705,0.141596299303079
feature archive,6,103,5,0.04854368932038835,0.1174223501836472
parameter two-stage,2,72,10,0.1388888888888889,0.1323982968063745
parameter two-stage,3,141,11,0.07801418439716312,0.148816062586361
parameter two-stage,4,108,11,0.10185185185185185,0.1342377668428139
parameter two-stage,5,140,9,0.06428571428571428,0.1348361155796144
parameter two-stage,6,51,11,0.21568627450980393,0.1428273383906624
