case_id,case_index,var,n_points,integral_true,integral_pred,integral_rel_error,p95_true,p95_pred,p95_rel_error,p99_true,p99_pred,p99_rel_error,peak_location_error_px,center_of_mass_error_px,profile_rmse_r,profile_rmse_z,grad_rmse,top10_rmse,shape_corr,distribution_error_score,density_score_avg
case_g008_op01,0.0,ne,128000.0,1.1829152644254987e+23,1.2299400448846922e+23,0.03975329583901501,2.241838506343556e+18,2.370041802660407e+18,0.05718667778882546,2.4161040391070126e+18,2.5656037307874017e+18,0.061876346904185434,11.40175425099138,2.968348928536313,6.054394107652137e+16,3.990346288438051e+16,3175379407038520.0,1.3098966603152363e+17,0.9983924299668264,0.05036812298464624,nan
case_g053_op01,1.0,ne,128000.0,3.155287260509009e+22,3.6935825519657334e+22,0.1706010410506608,5.425025006063058e+17,6.442009146484063e+17,0.18746165027523634,5.811548120837363e+17,6.884486304916675e+17,0.18462174996577604,22.47220505424423,7.575103862894175,5.249643876979573e+16,4.5283287254776856e+16,1260554376811524.5,1.006963690943551e+17,0.9971664228881919,0.1642561364093266,nan
case_g001_op01,2.0,ne,128000.0,2.5752338593739073e+21,4.0980037442485035e+21,0.5913132430018658,4.853426925537853e+16,8.051444606178424e+16,0.6589195077427007,5.0225308174573896e+16,8.583261750420307e+16,0.7089515350680328,107.37783756436893,1.0600941479176291,1.4191724743944314e+16,1.3299068381376022e+16,373465048144334.7,3.241778309078569e+16,0.9928184756677063,0.5896388757952997,nan
case_g057_op06,3.0,ne,128000.0,6.207871655280191e+21,7.801310157668679e+21,0.2566803231238144,1.037144059778433e+17,1.3674703896507842e+17,0.3184960919921958,1.1037210539263525e+17,1.481182073750919e+17,0.34198950765847513,21.540659228538015,6.107368706179542,1.5161100772069944e+16,1.4030425113025472e+16,440750939008670.5,3.388510743935531e+16,0.9967532437086508,0.27718592458882,nan
case_g058_op02,4.0,ne,128000.0,5.151383970308241e+22,5.633611706746897e+22,0.09361129731702011,9.6586521288974e+17,1.1127676766859034e+18,0.15209416576527354,1.0535576265668375e+18,1.2282369062430205e+18,0.16579945441180993,8.602325267042627,1.4183638778323824,5.568787131520022e+16,4.235944395295185e+16,1840648487508495.8,1.4953629397703837e+17,0.9981244221624995,0.1279834987625131,nan
case_g045_op02,5.0,ne,128000.0,2.2948480535521765e+23,1.9056957523459524e+23,0.16957650011026149,4.524724063238619e+18,3.600678039812938e+18,0.2042215194807449,4.902918347195951e+18,3.894987013772007e+18,0.20557783386304904,33.06055050963308,9.732728572994892,4.1125036732251526e+17,3.615873517966582e+17,1.2336717184652624e+16,9.755617839743318e+17,0.9908018366178907,0.18270860587979043,nan
case_g050_op03,6.0,ne,128000.0,1.4402042397092153e+23,1.4023213598568507e+23,0.026303824699206165,2.6170284118865085e+18,2.564347085204121e+18,0.020130208156361455,2.832349160449696e+18,2.761032799426854e+18,0.025179226494631356,18.027756377319946,4.753199910997818,5.52181755073936e+16,3.3238571036305844e+16,3271259622190925.0,7.023199940505236e+16,0.9982681681034463,0.029330702998142427,nan
case_g028_op04,7.0,ne,128000.0,1.3872285684441027e+22,1.6604604203829303e+22,0.19696238828564563,2.742525992194014e+17,3.376466257460067e+17,0.23115196248656242,2.88408046235644e+17,3.524317228705828e+17,0.2219899114140115,44.91102314577124,4.06566152565177,2.7916083112233956e+16,2.425022054708275e+16,740963865835792.6,6.2879767289738024e+16,0.9987824409848233,0.19632671947391622,nan
case_g022_op02,8.0,ne,128000.0,2.363575887654008e+23,2.1685890067030853e+23,0.08249656038946092,4.519341912588969e+18,3.8453205589680973e+18,0.1491414826887371,4.955279861679946e+18,4.126052947515586e+18,0.16734209516134857,7.615773105863909,0.3311310189902733,2.1309219842466323e+17,1.938551723915165e+17,1.004716164696441e+16,7.030237447399479e+17,0.9955494492936655,0.12804188683344198,nan
case_g024_op04,9.0,ne,128000.0,2.3955880988597373e+21,3.3085006456061145e+21,0.3810807655877525,4.091290390521446e+16,6.020015290958479e+16,0.47142214713124075,4.282954083494526e+16,6.555240560469212e+16,0.5305418719597136,66.0,4.6202153109777235,8320934583662123.0,7952791374658779.0,239327313736924.94,1.8800899489856544e+16,0.9909532775547871,0.4076628240940816,nan
case_g012_op02,10.0,ne,128000.0,9.99880485322929e+22,1.0094645440123002e+23,0.009585204261963291,1.7078796783775122e+18,1.7517183614641503e+18,0.025668484520106758,1.8113479996514657e+18,1.851447426485846e+18,0.022137892244944706,5.0,4.211611987900289,3.315077674081821e+16,1.1531565542554822e+16,2356044792184754.0,5.302065266928404e+16,0.9976479955273507,0.02419101369040201,nan
