scenario,model,backend,n_trials,objective_key,base_uniformity,best_uniformity,uniformity_improvement_pct,best_value,base_boundary_gamma_uniformity,best_boundary_gamma_uniformity,best_pp,best_pp0,rel_dir
optimize,combined,random,80,uniformity,0.7874754964235883,0.7731140495871045,1.8237325353878255,0.7731140495871045,0.649543951789388,0.6426992215349479,2823.804,0.08349,optimize
optimize_layout_mid_height,ffno,random,80,uniformity,0.339565246249552,0.3203693428980706,5.653082452782574,0.3203693428980706,0.7903564984463768,0.7853523971529079,2823.804,0.08349,optimize_layout_mid_height/ffno
optimize_layout_mid_height,unet,random,80,uniformity,0.715546752671346,0.6993914564626688,2.2577555063124555,0.6993914564626688,0.649543951789388,0.6438208428011848,2823.804,0.08349,optimize_layout_mid_height/unet
optimize_mid_height,ffno,random,80,uniformity,0.339565246249552,0.3172126160277952,6.582720248505483,0.3172126160277952,0.7903564984463768,0.7944174629483591,2823.804,0.08349,optimize_mid_height/ffno
optimize_mid_height,unet,random,80,uniformity,0.715546752671346,0.6961141504513099,2.715769744952174,0.6961141504513099,0.649543951789388,0.6426992215349479,2823.804,0.08349,optimize_mid_height/unet
optimize_process_layout_mean_height_balanced,ffno,random,80,uniformity,0.3543931414972725,0.4054335667867199,-14.402204589458787,0.4054335667867199,0.7903564984463768,0.7099747756668554,1861.0296544223352,0.09724039817940702,optimize_process_layout_mean_height_balanced/ffno
optimize_process_layout_mean_height_balanced,unet,random,80,uniformity,0.803108826813277,1.0015631202943676,-24.71075984416135,1.0015631202943676,0.649543951789388,0.6370995563382358,1861.0296544223352,0.09724039817940702,optimize_process_layout_mean_height_balanced/unet
optimize_process_layout_mean_height_balanced_wide,ffno,random,240,uniformity,0.3543931414972725,0.306884105029086,13.405743764528294,0.306884105029086,0.7903564984463768,0.8510661707903914,2827.9413404426364,0.09500901504888626,optimize_process_layout_mean_height_balanced_wide/ffno
optimize_process_layout_mean_height_balanced_wide,unet,random,240,uniformity,0.803108826813277,0.7021678686572731,12.568777080503025,0.7021678686572731,0.649543951789388,0.7051544815337146,2676.5168338826247,0.0962244484539277,optimize_process_layout_mean_height_balanced_wide/unet
optimize_process_layout_mean_height_density_weighted,ffno,random,80,uniformity,1.0159113020464204e+18,1981708453794914.5,99.80493292575808,1981708453794914.5,0.7903564984463768,1.145926086402187,1061.8467973626869,0.007460421255231402,optimize_process_layout_mean_height_density_weighted/ffno
optimize_process_layout_mean_height_density_weighted,unet,random,80,uniformity,7.341405773813341e+17,6.311041053639076e+16,91.40349784757785,6.311041053639076e+16,0.649543951789388,0.7261639348931322,512.6368024380093,0.02488910071181873,optimize_process_layout_mean_height_density_weighted/unet
optimize_process_layout_mid_height,ffno,random,80,uniformity,0.339565246249552,0.25378476183776494,25.261856258618874,0.25378476183776494,0.7903564984463768,1.145926086402187,1061.8467973626869,0.007460421255231402,optimize_process_layout_mid_height/ffno
optimize_process_layout_mid_height,unet,random,80,uniformity,0.715546752671346,0.3936991727974615,44.97925239298942,0.3936991727974615,0.649543951789388,0.7113649830502399,1323.1620597691244,0.004080715588457946,optimize_process_layout_mid_height/unet
