case_id,case_index,var,n_points,integral_true,integral_pred,integral_rel_error,p95_true,p95_pred,p95_rel_error,p99_true,p99_pred,p99_rel_error,peak_location_error_px,center_of_mass_error_px,profile_rmse_r,profile_rmse_z,grad_rmse,top10_rmse,shape_corr,distribution_error_score
case_g008_op01,0.0,ne,128000.0,1.1829152644254987e+23,1.0383735581654832e+23,0.1221910906105472,2.241838506343556e+18,1.7667882403466568e+18,0.21190209047292502,2.4161040391070126e+18,1.8966463305254907e+18,0.21499807134692447,35.0,21.624094680464523,2.196867520256768e+17,1.3383494128625408e+17,7413540691786427.0,5.045623429480448e+17,0.9789886546958616,0.18779051482334963
case_g053_op01,1.0,ne,128000.0,3.155287260509009e+22,3.2870939538469127e+22,0.0417732784547296,5.425025006063058e+17,5.567196034242707e+17,0.026206520342442224,5.811548120837363e+17,5.863343268635555e+17,0.00891245270988626,45.34313619501854,2.9168257133324222,1.4815420982056468e+16,1.5106955146036376e+16,2202108955300314.0,2.5584711031455308e+16,0.9929607856204461,0.04747718983997099
case_g001_op01,2.0,ne,128000.0,2.5752338593739073e+21,1.983331061740948e+21,0.22984428986067434,4.853426925537853e+16,4.0870590316911e+16,0.15790242762578002,5.0225308174573896e+16,4.438289676062687e+16,0.11632405307778064,131.47243057006287,1.8552001893985541,6126305753684444.0,5525446508526867.0,931965273328551.8,1.0200353758182902e+16,0.962598753707863,0.20845218645540067
case_g057_op06,3.0,ne,128000.0,6.207871655280191e+21,5.425508460604361e+21,0.12602760464778295,1.037144059778433e+17,9.456865623209411e+16,0.0881820578300666,1.1037210539263525e+17,1.0082798875434811e+17,0.08647218066861287,230.05434140654683,15.03633507077515,9089335651237142.0,7516148363781805.0,1161871421001494.5,1.5779112750716342e+16,0.9576060226742066,0.18934728302518855
case_g058_op02,4.0,ne,128000.0,5.151383970308241e+22,4.7000495539706015e+22,0.0876142059957206,9.6586521288974e+17,8.241957269391013e+17,0.14667624846616278,1.0535576265668375e+18,9.130786100305775e+17,0.13333776244782183,19.1049731745428,2.1073375088262374,5.7634438862648e+16,4.3283006242023704e+16,2998695175375606.0,1.5462658095120147e+17,0.989192914878843,0.12895055158459903
case_g045_op02,5.0,ne,128000.0,2.2948480535521765e+23,1.6829518871053253e+23,0.2666390768224075,4.524724063238619e+18,2.8795363044938977e+18,0.36359957773141216,4.902918347195951e+18,3.1238445281337513e+18,0.3628601769555631,35.12833614050059,29.021402261200713,7.48502264942238e+17,5.4142628680220397e+17,1.837081106311024e+16,1.7077515647532078e+18,0.9605413850654219,0.3162040469880139
case_g050_op03,6.0,ne,128000.0,1.4402042397092153e+23,1.2035105896151602e+23,0.16434728045367009,2.6170284118865085e+18,1.9744379381754102e+18,0.24554203186807635,2.832349160449696e+18,2.1200769229235264e+18,0.2514775534994707,80.15609770940699,12.818796255017888,2.74754351815493e+17,2.193197720355984e+17,9010337801044058.0,7.148614728175226e+17,0.9747055792436503,0.24320521087265512
case_g028_op04,7.0,ne,128000.0,1.3872285684441027e+22,1.2648314125808273e+22,0.08823142677962179,2.742525992194014e+17,2.5158554080656752e+17,0.0826502956666613,2.88408046235644e+17,2.823202771269215e+17,0.021108180538584945,29.68164415931166,19.448960494949432,2.2938786786539456e+16,1.1660907894157058e+16,1531035245613994.8,5.254776080212342e+16,0.9689501948376124,0.13122227081565055
case_g022_op02,8.0,ne,128000.0,2.363575887654008e+23,2.0414001521136205e+23,0.13630860647345927,4.519341912588969e+18,3.4813761353724974e+18,0.22967188526390078,4.955279861679946e+18,3.7053509118092477e+18,0.2522418480410399,14.035668847618199,2.8571808807845147,4.0674853715667405e+17,3.0036399273634816e+17,1.6329814362555504e+16,1.1008736855780376e+18,0.9850710373116286,0.2026189362051071
case_g024_op04,9.0,ne,128000.0,2.3955880988597373e+21,2.198969722475719e+21,0.08207520169164544,4.091290390521446e+16,4.117258707685867e+16,0.006347219259865606,4.282954083494526e+16,4.341914484000948e+16,0.013766292927033887,193.0181338631166,5.980933192178857,3430283977099887.5,2709835315149582.5,861140016881871.5,6055988605613429.0,0.9515612049924894,0.15489201269037242
