var,region,boundary_type,n_points,rmse,r2
ne,boundary_in,na,4998.0,1.117969953803138e+17,0.885862453122679
ne,plasma_mid,na,12932.0,1.3161428514485171e+17,0.8661372752650319
ne,plasma_deep,na,110070.0,3.523760450434914e+17,0.8789271577587294
ne,chamber_near,na,2072.0,8149920970203061.0,0.0
ne,chamber_far,na,124681.0,3289638272513596.5,0.0
ne,all_plasma,na,128000.0,3.301721661608128e+17,0.8828511923477713
ni,boundary_in,na,4998.0,1.0936352727230344e+17,0.8907430860555096
ni,plasma_mid,na,12932.0,1.3163663618573739e+17,0.8660897847511212
ni,plasma_deep,na,110070.0,3.533772216084759e+17,0.8782381374846745
ni,chamber_near,na,2072.0,6538545087094502.0,0.0
ni,chamber_far,na,124681.0,2723111215536032.0,0.0
ni,all_plasma,na,128000.0,3.3106018480899744e+17,0.8822186102715908
Te,boundary_in,na,4998.0,0.5732310399253701,0.8318838779247782
Te,plasma_mid,na,12932.0,0.4168501967883561,0.9100533585782125
Te,plasma_deep,na,110070.0,0.4358791067104661,0.9033559774732265
Te,chamber_near,na,2072.0,0.26123738279817654,0.0
Te,chamber_far,na,124681.0,0.12507274423217746,0.0
Te,all_plasma,na,128000.0,0.44018545426260985,0.9012886421775673
phi,boundary_in,na,4998.0,0.6291680230051275,0.9677950557191928
phi,plasma_mid,na,12932.0,0.7137096448017917,0.9457580633413044
phi,plasma_deep,na,110070.0,1.0261087030502591,0.9138323329508179
phi,chamber_near,na,2072.0,0.5574292315642737,0.0
phi,chamber_far,na,124681.0,0.32665776596137647,0.0
phi,all_plasma,na,128000.0,0.9860685510815069,0.9375658490615123
