model,var,region,boundary_type,n_points,rmse,r2
unet,ne,boundary_in,na,4998.0,1.8806865451867894e+17,0.6770010535702079
unet,ne,plasma_mid,na,12932.0,1.8504614598212304e+17,0.7353854680710852
unet,ne,plasma_deep,na,110070.0,4.127579226339751e+17,0.8338788916193693
unet,ne,chamber_near,na,2072.0,4.4084804141897816e+16,0.0
unet,ne,chamber_far,na,124681.0,3.910112424663609e+16,0.0
unet,ne,all_plasma,na,128000.0,3.890304858010734e+17,0.837361175891015
unet,ni,boundary_in,na,4998.0,1.8972351128370906e+17,0.6711890902023392
unet,ni,plasma_mid,na,12932.0,1.8000564628121744e+17,0.7496011025800388
unet,ni,plasma_deep,na,110070.0,4.1279185693978445e+17,0.8338515011097163
unet,ni,chamber_near,na,2072.0,4.146157770773122e+16,0.0
unet,ni,chamber_far,na,124681.0,3.834980400473483e+16,0.0
unet,ni,all_plasma,na,128000.0,3.8885385304697715e+17,0.837506654118695
unet,Te,boundary_in,na,4998.0,0.532366523260163,0.8549988516960855
unet,Te,plasma_mid,na,12932.0,0.506722150784163,0.8670878422269293
unet,Te,plasma_deep,na,110070.0,0.5537009832967784,0.8440470899374223
unet,Te,chamber_near,na,2072.0,0.38549012346205974,0.0
unet,Te,chamber_far,na,124681.0,0.35342719800312583,0.0
unet,Te,all_plasma,na,128000.0,0.5483127926407123,0.8468374782834052
unet,phi,boundary_in,na,4998.0,1.2994282127425885,0.8626293820043608
unet,phi,plasma_mid,na,12932.0,1.2588208275969663,0.8312592809066317
unet,phi,plasma_deep,na,110070.0,1.2616216897305137,0.8697385566576052
unet,phi,chamber_near,na,2072.0,1.4708481374368172,0.0
unet,phi,chamber_far,na,124681.0,1.2994068134731578,0.0
unet,phi,all_plasma,na,128000.0,1.262836789420316,0.8975994133009507
ffno,ne,boundary_in,na,4998.0,2.0264498818745494e+17,0.6249924554268793
ffno,ne,plasma_mid,na,12932.0,2.219462662990621e+17,0.6193294416381561
ffno,ne,plasma_deep,na,110070.0,6.641894123877082e+17,0.5698520268876857
ffno,ne,chamber_near,na,2072.0,2.7484753969885964e+16,0.0
ffno,ne,chamber_far,na,124681.0,3.0539602147347824e+16,0.0
ffno,ne,all_plasma,na,128000.0,6.212348379771341e+17,0.5852670323327576
ffno,ni,boundary_in,na,4998.0,2.0130040977934835e+17,0.6298368098757887
ffno,ni,plasma_mid,na,12932.0,2.230858014768867e+17,0.6154046611613614
ffno,ni,plasma_deep,na,110070.0,6.631236888875932e+17,0.5712311127746316
ffno,ni,chamber_near,na,2072.0,2.576011979448923e+16,0.0
ffno,ni,chamber_far,na,124681.0,3.2706982730523172e+16,0.0
ffno,ni,all_plasma,na,128000.0,6.202792521635028e+17,0.5865364042139398
ffno,Te,boundary_in,na,4998.0,0.4609435803303588,0.8912960044868807
ffno,Te,plasma_mid,na,12932.0,0.3276626820629246,0.9444250739470611
ffno,Te,plasma_deep,na,110070.0,0.2782716521123436,0.9606104674922276
ffno,Te,chamber_near,na,2072.0,0.3271668067171971,0.0
ffno,Te,chamber_far,na,124681.0,0.17557210216726757,0.0
ffno,Te,all_plasma,na,128000.0,0.2927992454433482,0.9563247240632936
ffno,phi,boundary_in,na,4998.0,0.6872965443286602,0.9615693624687962
ffno,phi,plasma_mid,na,12932.0,0.5362749428913844,0.9693756368239634
ffno,phi,plasma_deep,na,110070.0,0.5560501504714425,0.9746962133171703
ffno,phi,chamber_near,na,2072.0,0.571866268864221,0.0
ffno,phi,chamber_far,na,124681.0,0.5273904234448199,0.0
ffno,phi,all_plasma,na,128000.0,0.559804656664924,0.9798775430193579
cno,ne,boundary_in,na,4998.0,1.8726667314366464e+17,0.6797499096132436
cno,ne,plasma_mid,na,12932.0,2.3993730476356576e+17,0.5551135748379034
cno,ne,plasma_deep,na,110070.0,6.760143299670748e+17,0.554399378143325
cno,ne,chamber_near,na,2072.0,9.853446856424354e+16,0.0
cno,ne,chamber_far,na,124681.0,6.202523305454303e+16,0.0
cno,ne,all_plasma,na,128000.0,6.325867580515676e+17,0.5699715905523168
cno,ni,boundary_in,na,4998.0,1.8794401972934365e+17,0.6773282578276951
cno,ni,plasma_mid,na,12932.0,2.403787639833133e+17,0.5534682422114263
cno,ni,plasma_deep,na,110070.0,6.766798319642994e+17,0.5535214032638672
cno,ni,chamber_near,na,2072.0,3.2565345429367244e+16,0.0
cno,ni,chamber_far,na,124681.0,3.5449374296774256e+16,0.0
cno,ni,all_plasma,na,128000.0,6.332230825232261e+17,0.5691002489465299
cno,Te,boundary_in,na,4998.0,0.7662960940417953,0.6995700750064346
cno,Te,plasma_mid,na,12932.0,0.4210618256935364,0.9082266324136332
cno,Te,plasma_deep,na,110070.0,0.281264373401418,0.9597586683071705
cno,Te,chamber_near,na,2072.0,0.5050231335402579,0.0
cno,Te,chamber_far,na,124681.0,0.41379484780436443,0.0
cno,Te,all_plasma,na,128000.0,0.3299529664893118,0.9445374509609209
cno,phi,boundary_in,na,4998.0,1.4934597691171743,0.8185419144613665
cno,phi,plasma_mid,na,12932.0,1.2877887793157643,0.8234038101376606
cno,phi,plasma_deep,na,110070.0,0.8466294583366519,0.9413396913559546
cno,phi,chamber_near,na,2072.0,0.9276905448527812,0.0
cno,phi,chamber_far,na,124681.0,0.8777418447661041,0.0
cno,phi,all_plasma,na,128000.0,0.9332830603817667,0.9440712954003818
