r_m,truth_ne,sensor_ne,point_noise_draw,calibration_noise_draw
0.0,1.472539940644383e+16,1.497038285205937e+16,0.016636794619528966,0.0
0.005,1.4781200006156436e+16,1.396509347925529e+16,-0.05521246763194011,0.0
0.01,1.4864399564083974e+16,1.488226546705082e+16,0.001201925640509059,0.0
0.015,1.484740016517692e+16,1.5119598190836174e+16,0.018333042999518958,0.0
0.02,1.4544799471172348e+16,1.5187774394671036e+16,0.04420651689100684,0.0
0.025,1.3762599766302548e+16,1.5054282940090736e+16,0.09385459111808568,0.0
0.03,1.2515599568209794e+16,1.245139800987539e+16,-0.005129722949708163,0.0
0.035,1.1055399807443802e+16,1.0464366048823024e+16,-0.05346109312327399,0.0
0.04,9660699721436334.0,9397703932978102.0,-0.02722326498510935,0.0
0.045,8346080260531978.0,8985500629871048.0,0.0766132542916995,0.0
0.05,7118240116571760.0,7105427916832041.0,-0.0017999111479663832,0.0
0.055,6085640048441940.0,6202605386998344.0,0.01921989102631047,0.0
0.06,5322799913436103.0,5678535255808099.0,0.06683237171362184,0.0
0.065,4707219586945174.0,4709516415503799.0,0.000487937415325783,0.0
0.07,4123920074181938.0,4391188772537407.0,0.06480937883076869,0.0
0.075,3526200409391525.0,3473805324554010.5,-0.014858793816133557,0.0
0.08,2886159870775125.5,2761019670188651.5,-0.043358720995890575,0.0
0.085,2207420146076564.5,2047797432705993.2,-0.07231188573425067,0.0
0.09,1502780403374107.0,1540564022075930.5,0.025142474986358694,0.0
