measurement_id,case_id,method,budget,best_loss
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,10,0.07220233575706089
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,25,0.07118813328917162
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,50,0.07118813328917162
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,100,0.05479009075234865
M1,case_td003_pa050_pp0_3_gamma_010__steady,tpe,10,0.1712995794837702
M1,case_td003_pa050_pp0_3_gamma_010__steady,tpe,25,0.09688754810581611
M1,case_td003_pa050_pp0_3_gamma_010__steady,tpe,50,0.05396328698837466
M1,case_td003_pa050_pp0_3_gamma_010__steady,tpe,100,0.05396328698837466
M1,case_td003_pa050_pp0_3_gamma_010__steady,random,10,0.059134330165302035
M1,case_td003_pa050_pp0_3_gamma_010__steady,random,25,0.059134330165302035
M1,case_td003_pa050_pp0_3_gamma_010__steady,random,50,0.059134330165302035
M1,case_td003_pa050_pp0_3_gamma_010__steady,random,100,0.059134330165302035
M2,case_td016_pp0_1_gamma_007__steady,cmaes,10,0.49598065948451897
M2,case_td016_pp0_1_gamma_007__steady,cmaes,25,0.28122316275430087
M2,case_td016_pp0_1_gamma_007__steady,cmaes,50,0.04260500486453202
M2,case_td016_pp0_1_gamma_007__steady,cmaes,100,0.04260500486453202
M2,case_td016_pp0_1_gamma_007__steady,tpe,10,0.053836385043724094
M2,case_td016_pp0_1_gamma_007__steady,tpe,25,0.04783229586690238
M2,case_td016_pp0_1_gamma_007__steady,tpe,50,0.04252040962542293
M2,case_td016_pp0_1_gamma_007__steady,tpe,100,0.04236115332339359
M2,case_td016_pp0_1_gamma_007__steady,random,10,0.7113039066040263
M2,case_td016_pp0_1_gamma_007__steady,random,25,0.32455629659310525
M2,case_td016_pp0_1_gamma_007__steady,random,50,0.054709209314492455
M2,case_td016_pp0_1_gamma_007__steady,random,100,0.04305256532086865
M3,case_td030_pa200_pp0_5_gamma_004__steady,cmaes,10,0.1916685777760107
M3,case_td030_pa200_pp0_5_gamma_004__steady,cmaes,25,0.05922268023908271
M3,case_td030_pa200_pp0_5_gamma_004__steady,cmaes,50,0.05922268023908271
M3,case_td030_pa200_pp0_5_gamma_004__steady,cmaes,100,0.05132501249602892
M3,case_td030_pa200_pp0_5_gamma_004__steady,tpe,10,0.14081438840293004
M3,case_td030_pa200_pp0_5_gamma_004__steady,tpe,25,0.05315357068312404
M3,case_td030_pa200_pp0_5_gamma_004__steady,tpe,50,0.05090490679967978
M3,case_td030_pa200_pp0_5_gamma_004__steady,tpe,100,0.0504235828968886
M3,case_td030_pa200_pp0_5_gamma_004__steady,random,10,0.10136070918820915
M3,case_td030_pa200_pp0_5_gamma_004__steady,random,25,0.10136070918820915
M3,case_td030_pa200_pp0_5_gamma_004__steady,random,50,0.10136070918820915
M3,case_td030_pa200_pp0_5_gamma_004__steady,random,100,0.07349195024139947
